instance,ghtw,triang,balsepkdecomp,globalbipkdecomp,localbipkdecomp,frasmt
hypergraphs_Kakuro-easy-062-ext.xml.hg,4,256.2,TO,TO,TO,TO
hypergraphs_Kakuro-easy-064-ext.xml.hg,4,134.41,TO,TO,TO,TO
hypergraphs_Kakuro-easy-065-ext.xml.hg,4,95.77,TO,TO,TO,TO
hypergraphs_Kakuro-easy-068-ext.xml.hg,4,34.34,TO,TO,TO,TO
hypergraphs_Kakuro-easy-069-ext.xml.hg,3,TO,TO,TO,217.21,TO
hypergraphs_Kakuro-easy-070-ext.xml.hg,3,1.28,TO,TO,2816.59,TO
hypergraphs_Kakuro-easy-071-ext.xml.hg,4,97.59,TO,TO,TO,2673.23
hypergraphs_Kakuro-easy-072-ext.xml.hg,4,658.08,TO,TO,TO,TO
hypergraphs_Kakuro-easy-073-ext.xml.hg,3,430.83,TO,TO,182.53,TO
hypergraphs_Kakuro-easy-074-ext.xml.hg,4,660.01,TO,TO,TO,TO
hypergraphs_Kakuro-easy-075-ext.xml.hg,3,12.33,TO,TO,181.42,TO
hypergraphs_Kakuro-easy-076-ext.xml.hg,3,9.1,TO,TO,201.37,TO
hypergraphs_Kakuro-easy-083-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-084-ext.xml.hg,5,2881.94,TO,TO,TO,TO
hypergraphs_Kakuro-easy-086-ext.xml.hg,4,72.78,TO,TO,TO,TO
hypergraphs_Kakuro-easy-087-ext.xml.hg,4,2391.8,TO,TO,TO,TO
hypergraphs_Kakuro-easy-088-ext.xml.hg,3,18.25,TO,TO,TO,771.56
hypergraphs_Kakuro-easy-089-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-091-ext.xml.hg,3,0.7,TO,TO,TO,986.42
hypergraphs_Kakuro-easy-093-ext.xml.hg,3,2.21,15.94,TO,386.53,TO
hypergraphs_Kakuro-easy-094-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-096-ext.xml.hg,3,5.01,243.46,TO,TO,994.75
hypergraphs_Kakuro-easy-097-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-098-ext.xml.hg,3,2.25,TO,TO,327.74,TO
hypergraphs_Kakuro-easy-099-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-103-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-104-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-106-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-109-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-112-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-113-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-114-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-115-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-117-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-118-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-120-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-121-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-122-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-123-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-124-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-125-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-126-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-127-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-128-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-129-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-130-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-131-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-132-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-133-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-134-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-135-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-136-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-138-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-139-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-142-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-146-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-148-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-149-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-150-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-151-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-152-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-153-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-154-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-155-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-156-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-157-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-161-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-162-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-163-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-164-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-easy-165-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-000-ext.xml.hg,3,0.09,0.34,4.28,0.35,19.95
hypergraphs_Kakuro-hard-001-ext.xml.hg,3,0.16,0.61,48.36,1.09,101.62
hypergraphs_Kakuro-hard-002-ext.xml.hg,2,0.16,0.87,0.7,0.51,376.27
hypergraphs_Kakuro-hard-003-ext.xml.hg,3,0.2,11.01,963.35,210.32,516.58
hypergraphs_Kakuro-hard-004-ext.xml.hg,3,1.15,107.97,908.86,RTE,994.0
hypergraphs_Kakuro-hard-005-ext.xml.hg,4,6.24,TO,TO,TO,1019.17
hypergraphs_Kakuro-hard-006-ext.xml.hg,4,1.78,TO,TO,TO,1146.77
hypergraphs_Kakuro-hard-007-ext.xml.hg,3,4.52,59.14,1005.07,20.26,1569.56
hypergraphs_Kakuro-hard-008-ext.xml.hg,4,1.66,TO,TO,TO,1205.37
hypergraphs_Kakuro-hard-009-ext.xml.hg,3,10.62,TO,RTE,RTE,1182.93
hypergraphs_Kakuro-hard-010-ext.xml.hg,3,1.68,TO,1134.38,27.45,1310.02
hypergraphs_Kakuro-hard-011-ext.xml.hg,4,7.21,TO,TO,TO,1160.66
hypergraphs_Kakuro-hard-012-ext.xml.hg,3,3.68,9.67,583.78,RTE,1238.94
hypergraphs_Kakuro-hard-013-ext.xml.hg,3,12.97,120.41,1589.6,RTE,1599.7
hypergraphs_Kakuro-hard-014-ext.xml.hg,3,2.71,TO,458.48,13.61,880.51
hypergraphs_Kakuro-hard-015-ext.xml.hg,4,14.41,111.4,TO,TO,1297.61
hypergraphs_Kakuro-hard-016-ext.xml.hg,3,2.77,TO,1037.99,20.49,1460.48
hypergraphs_Kakuro-hard-017-ext.xml.hg,3,14.39,49.19,1440.52,22.49,1680.35
hypergraphs_Kakuro-hard-018-ext.xml.hg,3,0.42,51.65,851.57,17.84,1209.01
hypergraphs_Kakuro-hard-019-ext.xml.hg,4,14.58,TO,TO,TO,1553.35
hypergraphs_Kakuro-hard-020-ext.xml.hg,4,12.22,TO,TO,TO,1314.9
hypergraphs_Kakuro-hard-021-ext.xml.hg,3,17.72,954.67,1200.56,20.22,1395.3
hypergraphs_Kakuro-hard-022-ext.xml.hg,3,3.75,TO,1176.64,144.71,1421.41
hypergraphs_Kakuro-hard-023-ext.xml.hg,4,1.96,TO,TO,TO,1512.03
hypergraphs_Kakuro-hard-024-ext.xml.hg,3,1.25,TO,925.57,53.83,1301.08
hypergraphs_Kakuro-hard-025-ext.xml.hg,4,19.4,TO,TO,TO,1407.18
hypergraphs_Kakuro-hard-026-ext.xml.hg,4,21.64,TO,TO,TO,1151.52
hypergraphs_Kakuro-hard-027-ext.xml.hg,4,4.22,TO,TO,TO,1525.65
hypergraphs_Kakuro-hard-028-ext.xml.hg,4,114.1,TO,TO,TO,1635.59
hypergraphs_Kakuro-hard-029-ext.xml.hg,3,1.16,TO,1067.06,19.22,1173.21
hypergraphs_Kakuro-hard-030-ext.xml.hg,4,1.98,TO,TO,TO,1184.52
hypergraphs_Kakuro-hard-031-ext.xml.hg,4,2.35,TO,TO,TO,1117.08
hypergraphs_Kakuro-hard-032-ext.xml.hg,3,3.3,6.46,941.16,19.83,1436.3
hypergraphs_Kakuro-hard-033-ext.xml.hg,4,7.51,TO,TO,TO,1354.32
hypergraphs_Kakuro-hard-034-ext.xml.hg,3,0.63,TO,1631.93,74.87,1562.51
hypergraphs_Kakuro-hard-035-ext.xml.hg,3,3.38,15.7,1426.84,21.06,1357.97
hypergraphs_Kakuro-hard-036-ext.xml.hg,3,0.48,TO,1184.25,18.14,1291.35
hypergraphs_Kakuro-hard-037-ext.xml.hg,5,78.07,TO,TO,TO,3420.2
hypergraphs_Kakuro-hard-038-ext.xml.hg,4,100.37,TO,TO,TO,1703.86
hypergraphs_Kakuro-hard-039-ext.xml.hg,4,558.96,TO,TO,TO,2274.98
hypergraphs_Kakuro-hard-040-ext.xml.hg,4,1.7,TO,TO,TO,1459.62
hypergraphs_Kakuro-hard-041-ext.xml.hg,5,232.81,TO,TO,TO,TO
hypergraphs_Kakuro-hard-042-ext.xml.hg,4,6.39,TO,TO,TO,1449.86
hypergraphs_Kakuro-hard-043-ext.xml.hg,4,24.73,TO,TO,TO,1364.97
hypergraphs_Kakuro-hard-044-ext.xml.hg,4,3.83,TO,TO,TO,1394.99
hypergraphs_Kakuro-hard-045-ext.xml.hg,5,1825.04,TO,TO,TO,TO
hypergraphs_Kakuro-hard-046-ext.xml.hg,4,17.68,TO,TO,TO,1307.95
hypergraphs_Kakuro-hard-047-ext.xml.hg,5,130.32,TO,TO,TO,TO
hypergraphs_Kakuro-hard-048-ext.xml.hg,4,78.43,TO,TO,TO,3179.37
hypergraphs_Kakuro-hard-049-ext.xml.hg,3,685.49,TO,TO,RTE,3275.26
hypergraphs_Kakuro-hard-050-ext.xml.hg,4,15.96,TO,TO,TO,3483.78
hypergraphs_Kakuro-hard-051-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-052-ext.xml.hg,4,1150.61,TO,TO,TO,TO
hypergraphs_Kakuro-hard-053-ext.xml.hg,5,906.99,TO,TO,TO,TO
hypergraphs_Kakuro-hard-054-ext.xml.hg,4,22.44,TO,TO,TO,2803.68
hypergraphs_Kakuro-hard-055-ext.xml.hg,4,1999.7,TO,TO,TO,2678.05
hypergraphs_Kakuro-hard-056-ext.xml.hg,3,22.88,TO,2561.96,RTE,2229.01
hypergraphs_Kakuro-hard-057-ext.xml.hg,4,50.82,TO,TO,TO,2433.5
hypergraphs_Kakuro-hard-058-ext.xml.hg,3,0.44,TO,TO,TO,128.94
hypergraphs_Kakuro-hard-059-ext.xml.hg,3,3.18,TO,TO,199.44,TO
hypergraphs_Kakuro-hard-060-ext.xml.hg,4,42.68,TO,TO,TO,2028.06
hypergraphs_Kakuro-hard-061-ext.xml.hg,3,10.71,TO,TO,173.9,TO
hypergraphs_Kakuro-hard-062-ext.xml.hg,4,256.65,TO,TO,TO,TO
hypergraphs_Kakuro-hard-064-ext.xml.hg,4,136.99,TO,TO,TO,3284.21
hypergraphs_Kakuro-hard-065-ext.xml.hg,4,101.08,TO,TO,TO,TO
hypergraphs_Kakuro-hard-068-ext.xml.hg,4,36.56,TO,TO,TO,TO
hypergraphs_Kakuro-hard-069-ext.xml.hg,3,TO,42.54,TO,219.4,TO
hypergraphs_Kakuro-hard-070-ext.xml.hg,3,1.46,TO,TO,2455.49,TO
hypergraphs_Kakuro-hard-071-ext.xml.hg,4,103.47,TO,TO,TO,3200.19
hypergraphs_Kakuro-hard-072-ext.xml.hg,4,781.2,TO,TO,TO,TO
hypergraphs_Kakuro-hard-073-ext.xml.hg,3,427.02,TO,TO,174.06,TO
hypergraphs_Kakuro-hard-074-ext.xml.hg,4,646.66,TO,TO,TO,TO
hypergraphs_Kakuro-hard-075-ext.xml.hg,3,12.1,TO,TO,195.46,TO
hypergraphs_Kakuro-hard-078-ext.xml.hg,4,164.63,TO,TO,TO,TO
hypergraphs_Kakuro-hard-083-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-084-ext.xml.hg,5,2782.13,TO,TO,TO,TO
hypergraphs_Kakuro-hard-086-ext.xml.hg,4,73.97,TO,TO,TO,TO
hypergraphs_Kakuro-hard-087-ext.xml.hg,4,2335.54,TO,TO,TO,TO
hypergraphs_Kakuro-hard-088-ext.xml.hg,3,18.41,2273.02,TO,TO,770.86
hypergraphs_Kakuro-hard-090-ext.xml.hg,3,0.41,TO,TO,TO,981.31
hypergraphs_Kakuro-hard-092-ext.xml.hg,3,2.1,6.97,TO,474.49,TO
hypergraphs_Kakuro-hard-093-ext.xml.hg,3,110.87,TO,TO,TO,TO
hypergraphs_Kakuro-hard-094-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-096-ext.xml.hg,3,5.59,TO,TO,TO,1007.34
hypergraphs_Kakuro-hard-097-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-098-ext.xml.hg,3,2.46,99.53,TO,721.29,TO
hypergraphs_Kakuro-hard-099-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-103-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-104-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-106-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-109-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-112-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-113-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-114-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-115-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-116-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-118-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-119-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-121-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-122-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-123-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-124-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-125-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-126-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-127-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-128-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-129-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-130-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-131-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-132-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-133-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-134-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-135-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-136-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-137-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-138-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-140-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-141-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-144-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-145-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-149-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-150-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-151-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-153-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-154-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-155-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-156-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-157-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-158-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-159-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-161-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-162-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-163-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-165-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-168-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-169-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-170-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-171-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-172-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-173-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-hard-174-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-000-ext.xml.hg,3,0.09,0.28,4.26,0.31,16.44
hypergraphs_Kakuro-medium-001-ext.xml.hg,3,0.16,34.23,45.6,1.03,103.07
hypergraphs_Kakuro-medium-002-ext.xml.hg,2,0.16,0.91,0.63,0.54,377.0
hypergraphs_Kakuro-medium-003-ext.xml.hg,3,0.2,18.22,958.28,282.16,526.98
hypergraphs_Kakuro-medium-004-ext.xml.hg,3,1.17,13.88,RTE,26.08,1045.1
hypergraphs_Kakuro-medium-005-ext.xml.hg,4,6.19,TO,TO,TO,1008.92
hypergraphs_Kakuro-medium-006-ext.xml.hg,4,1.65,TO,TO,TO,1272.77
hypergraphs_Kakuro-medium-007-ext.xml.hg,3,4.49,5.14,969.24,20.19,1534.15
hypergraphs_Kakuro-medium-008-ext.xml.hg,4,1.56,TO,TO,TO,1247.76
hypergraphs_Kakuro-medium-009-ext.xml.hg,3,2.17,TO,RTE,16.87,1209.96
hypergraphs_Kakuro-medium-010-ext.xml.hg,3,1.9,TO,934.96,29.08,1264.58
hypergraphs_Kakuro-medium-011-ext.xml.hg,4,7.02,TO,TO,TO,1221.25
hypergraphs_Kakuro-medium-012-ext.xml.hg,3,3.51,10.12,593.7,18.42,1294.53
hypergraphs_Kakuro-medium-013-ext.xml.hg,3,4.67,113.71,1641.07,78.59,1606.36
hypergraphs_Kakuro-medium-014-ext.xml.hg,3,2.65,332.5,460.89,14.22,943.37
hypergraphs_Kakuro-medium-015-ext.xml.hg,4,70.36,TO,TO,TO,1345.22
hypergraphs_Kakuro-medium-016-ext.xml.hg,3,2.57,TO,RTE,20.12,1426.46
hypergraphs_Kakuro-medium-017-ext.xml.hg,3,15.29,13.18,1445.01,23.24,1642.19
hypergraphs_Kakuro-medium-018-ext.xml.hg,3,0.42,TO,828.57,17.35,1198.09
hypergraphs_Kakuro-medium-019-ext.xml.hg,4,14.95,TO,TO,TO,1606.2
hypergraphs_Kakuro-medium-020-ext.xml.hg,4,11.76,TO,TO,TO,1346.83
hypergraphs_Kakuro-medium-021-ext.xml.hg,3,18.6,TO,1139.68,21.63,1421.34
hypergraphs_Kakuro-medium-022-ext.xml.hg,3,3.85,22.69,1147.35,143.59,1412.71
hypergraphs_Kakuro-medium-023-ext.xml.hg,4,2.24,TO,TO,TO,1956.85
hypergraphs_Kakuro-medium-024-ext.xml.hg,3,1.29,4.38,949.41,59.34,1305.08
hypergraphs_Kakuro-medium-025-ext.xml.hg,4,19.79,TO,TO,TO,1424.2
hypergraphs_Kakuro-medium-026-ext.xml.hg,4,32.77,TO,TO,TO,1229.38
hypergraphs_Kakuro-medium-027-ext.xml.hg,4,1.08,TO,TO,TO,1613.13
hypergraphs_Kakuro-medium-028-ext.xml.hg,4,124.8,TO,TO,TO,1672.0
hypergraphs_Kakuro-medium-029-ext.xml.hg,3,0.55,4.3,1125.57,21.11,1173.01
hypergraphs_Kakuro-medium-030-ext.xml.hg,4,1.76,TO,TO,TO,1233.28
hypergraphs_Kakuro-medium-031-ext.xml.hg,4,2.23,TO,TO,TO,1041.74
hypergraphs_Kakuro-medium-032-ext.xml.hg,3,3.3,10.27,949.84,25.25,1494.71
hypergraphs_Kakuro-medium-033-ext.xml.hg,4,7.35,TO,TO,TO,1190.45
hypergraphs_Kakuro-medium-034-ext.xml.hg,3,0.77,TO,1700.51,71.9,1489.35
hypergraphs_Kakuro-medium-035-ext.xml.hg,3,3.23,4.21,1380.75,20.26,1319.39
hypergraphs_Kakuro-medium-036-ext.xml.hg,3,0.52,3.87,1151.25,17.81,1238.25
hypergraphs_Kakuro-medium-037-ext.xml.hg,5,78.81,TO,TO,TO,TO
hypergraphs_Kakuro-medium-038-ext.xml.hg,4,104.76,TO,TO,TO,1596.8
hypergraphs_Kakuro-medium-039-ext.xml.hg,4,496.08,TO,TO,TO,2272.22
hypergraphs_Kakuro-medium-040-ext.xml.hg,4,7.15,TO,TO,TO,1482.89
hypergraphs_Kakuro-medium-041-ext.xml.hg,5,346.36,TO,TO,TO,TO
hypergraphs_Kakuro-medium-042-ext.xml.hg,4,6.73,TO,TO,TO,1379.06
hypergraphs_Kakuro-medium-043-ext.xml.hg,4,15.31,TO,TO,TO,1294.43
hypergraphs_Kakuro-medium-044-ext.xml.hg,4,10.93,TO,TO,TO,1387.5
hypergraphs_Kakuro-medium-045-ext.xml.hg,5,1795.04,TO,TO,TO,TO
hypergraphs_Kakuro-medium-046-ext.xml.hg,4,6.55,TO,TO,TO,1441.26
hypergraphs_Kakuro-medium-047-ext.xml.hg,5,126.77,TO,TO,TO,TO
hypergraphs_Kakuro-medium-048-ext.xml.hg,4,83.48,TO,TO,TO,3570.37
hypergraphs_Kakuro-medium-049-ext.xml.hg,3,698.93,15.39,TO,118.65,3055.92
hypergraphs_Kakuro-medium-050-ext.xml.hg,4,14.57,TO,TO,TO,3299.32
hypergraphs_Kakuro-medium-051-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-052-ext.xml.hg,4,987.43,TO,TO,TO,TO
hypergraphs_Kakuro-medium-053-ext.xml.hg,4,20.09,TO,TO,TO,3310.88
hypergraphs_Kakuro-medium-054-ext.xml.hg,4,1902.54,TO,TO,TO,2795.24
hypergraphs_Kakuro-medium-055-ext.xml.hg,3,18.71,TO,2469.64,47.95,2344.9
hypergraphs_Kakuro-medium-056-ext.xml.hg,4,48.6,TO,TO,TO,2514.97
hypergraphs_Kakuro-medium-057-ext.xml.hg,3,0.31,TO,TO,TO,134.96
hypergraphs_Kakuro-medium-058-ext.xml.hg,3,3.44,TO,TO,191.5,TO
hypergraphs_Kakuro-medium-059-ext.xml.hg,4,40.14,TO,TO,TO,1971.99
hypergraphs_Kakuro-medium-060-ext.xml.hg,3,13.31,TO,TO,177.08,TO
hypergraphs_Kakuro-medium-061-ext.xml.hg,4,1418.86,TO,TO,TO,TO
hypergraphs_Kakuro-medium-063-ext.xml.hg,4,129.42,TO,TO,TO,3475.22
hypergraphs_Kakuro-medium-064-ext.xml.hg,4,104.02,TO,TO,TO,TO
hypergraphs_Kakuro-medium-067-ext.xml.hg,4,739.39,TO,TO,TO,TO
hypergraphs_Kakuro-medium-068-ext.xml.hg,3,TO,36.19,TO,210.49,TO
hypergraphs_Kakuro-medium-069-ext.xml.hg,3,1.25,TO,TO,3243.71,TO
hypergraphs_Kakuro-medium-070-ext.xml.hg,4,169.6,TO,TO,TO,TO
hypergraphs_Kakuro-medium-071-ext.xml.hg,3,757.28,TO,TO,191.79,TO
hypergraphs_Kakuro-medium-072-ext.xml.hg,4,664.36,TO,TO,TO,TO
hypergraphs_Kakuro-medium-073-ext.xml.hg,3,9.83,TO,TO,195.74,TO
hypergraphs_Kakuro-medium-074-ext.xml.hg,3,8.9,TO,TO,196.65,TO
hypergraphs_Kakuro-medium-081-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-082-ext.xml.hg,5,2761.16,TO,TO,TO,TO
hypergraphs_Kakuro-medium-084-ext.xml.hg,4,71.76,TO,TO,TO,TO
hypergraphs_Kakuro-medium-085-ext.xml.hg,4,2168.57,TO,TO,TO,TO
hypergraphs_Kakuro-medium-086-ext.xml.hg,3,17.69,TO,TO,TO,775.94
hypergraphs_Kakuro-medium-089-ext.xml.hg,3,2.02,8.46,TO,478.97,TO
hypergraphs_Kakuro-medium-090-ext.xml.hg,3,107.34,TO,TO,TO,TO
hypergraphs_Kakuro-medium-091-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-093-ext.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-094-ext.xml.hg,3,2.3,TO,TO,684.97,TO
hypergraphs_Kakuro-medium-098-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-099-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-101-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-104-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-108-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-109-ext.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_Kakuro-medium-110-ext.xml.hg,-1,MO,TO,TO,TO,TO
