instance,tw,triang_tw,tamaki,quickbb,p17
CFG_contiki_contiki_uip-neighbor_uip_neighbor_add.gr,3,0.01,0.35000000000000003,0.0,0.03
CFG_contiki_contiki_uip-neighbor_uip_neighbor_init.gr,2,0.01,0.18,0.04,0.03
CFG_contiki_contiki_uip-neighbor_uip_neighbor_lookup.gr,2,0.01,0.22,0.0,0.02
CFG_contiki_contiki_uip-neighbor_uip_neighbor_periodic.gr,2,0.01,0.16999999999999998,0.01,0.02
CFG_contiki_contiki_uip-neighbor_uip_neighbor_update.gr,2,0.01,0.19,0.0,0.02
CFG_contiki_contiki_uip-over-mesh_gateway_announce_recv.gr,2,0.01,0.19,0.0,0.02
CFG_contiki_contiki_uip-over-mesh_new_route.gr,2,0.02,0.23,0.01,0.02
CFG_contiki_contiki_uip-over-mesh_recv_data.gr,2,0.01,0.36,0.13,0.03
CFG_contiki_contiki_uip-over-mesh_send_data.gr,1,0.01,0.2,0.0,0.02
CFG_contiki_contiki_uip-over-mesh_timedout.gr,2,0.01,0.17,0.0,0.02
CFG_contiki_contiki_uip-over-mesh_uip_over_mesh_init.gr,1,0.01,0.21,0.0,0.02
CFG_contiki_contiki_uip-over-mesh_uip_over_mesh_make_announced_gateway.gr,2,0.02,0.25,0.02,0.02
CFG_contiki_contiki_uip-over-mesh_uip_over_mesh_send.gr,3,0.01,0.59,0.02,0.02
CFG_contiki_contiki_uip-over-mesh_uip_over_mesh_set_gateway.gr,1,0.01,0.2,0.0,0.02
CFG_contiki_contiki_uip-over-mesh_uip_over_mesh_set_gateway_netif.gr,1,0.01,0.2,0.0,0.02
CFG_contiki_contiki_uip-over-mesh_uip_over_mesh_set_net.gr,1,0.01,0.21000000000000002,0.01,0.04
CFG_contiki_contiki_uip-split_uip_split_output.gr,2,0.02,0.62,0.46,0.05
CFG_contiki_contiki_uip-udp-packet_uip_udp_packet_send.gr,1,0.01,0.17,0.02,0.04
CFG_contiki_contiki_uip-udp-packet_uip_udp_packet_sendto.gr,2,0.01,0.25,0.03,0.02
CFG_contiki_contiki_uip_arch_uip_ipchksum.gr,1,0.01,0.19,0.01,0.04
CFG_contiki_contiki_uip_arch_uip_tcpchksum.gr,1,0.01,0.18,0.0,0.03
CFG_contiki_contiki_uip_arch_upper_layer_chksum.gr,1,0.01,0.15,0.0,0.03
CFG_contiki_contiki_uip_arp_uip_arp_arpin.gr,2,0.02,0.63,0.91,0.03
CFG_contiki_contiki_uip_arp_uip_arp_init.gr,2,0.01,0.22,0.0,0.04
CFG_contiki_contiki_uip_arp_uip_arp_out.gr,3,0.03,1.12,0.07,0.04
CFG_contiki_contiki_uip_arp_uip_arp_timer.gr,2,0.02,0.29000000000000004,0.05,0.03
CFG_contiki_contiki_uip_arp_uip_arp_update.gr,3,0.01,0.45,0.03,0.03
CFG_contiki_contiki_uip_uip_add_rcv_nxt.gr,1,0.01,0.21,0.01,0.03
CFG_contiki_contiki_uip_uip_connect.gr,3,0.01,0.41,0.02,0.04
CFG_contiki_contiki_uip_uip_htonl.gr,1,0.01,0.17,0.0,0.03
CFG_contiki_contiki_uip_uip_htons.gr,1,0.01,0.16,0.04,0.02
CFG_contiki_contiki_uip_uip_init.gr,2,0.02,0.21,0.01,0.03
CFG_contiki_contiki_uip_uip_listen.gr,2,0.01,0.2,0.01,0.03
CFG_contiki_contiki_uip_uip_process.gr,7,0.21,26.12,1.68,0.1
CFG_contiki_contiki_uip_uip_send.gr,2,0.01,0.21,0.02,0.03
CFG_contiki_contiki_uip_uip_setipid.gr,1,0.01,0.18,0.0,0.02
CFG_contiki_contiki_uip_uip_unlisten.gr,2,0.02,0.24000000000000002,0.01,0.02
CFG_contiki_contiki_uiplib_uiplib_ipaddrconv.gr,3,0.01,0.32,0.01,0.03
CFG_contiki_contiki_unicast_recv_from_broadcast.gr,2,0.01,0.18,0.0,0.02
CFG_contiki_contiki_unicast_sent_by_broadcast.gr,2,0.01,0.22,0.0,0.02
CFG_contiki_contiki_unicast_unicast_close.gr,1,0.01,0.19,0.0,0.02
CFG_contiki_contiki_unicast_unicast_open.gr,1,0.01,0.17,0.0,0.03
CFG_contiki_contiki_unicast_unicast_send.gr,1,0.01,0.18,0.01,0.02
CFG_contiki_contiki_urlconv_urlconv_init.gr,2,0.01,0.21000000000000002,0.0,0.03
CFG_contiki_contiki_urlconv_urlconv_tofilename.gr,3,0.01,0.53,0.07,0.02
CFG_contiki_contiki_webclient_acked.gr,2,0.01,0.22,0.01,0.02
CFG_contiki_contiki_webclient_casecmp.gr,2,0.01,0.22,0.02,0.02
CFG_contiki_contiki_webclient_init_connection.gr,1,0.01,0.21000000000000002,0.0,0.03
CFG_contiki_contiki_webclient_newdata.gr,2,0.01,0.22,0.02,0.03
CFG_contiki_contiki_webclient_parse_headers.gr,3,0.01,0.49,0.03,0.03
CFG_contiki_contiki_webclient_parse_statusline.gr,3,0.01,0.36,0.01,0.02
CFG_contiki_contiki_webclient_senddata.gr,2,0.02,0.54,0.27,0.03
CFG_contiki_contiki_webclient_webclient_appcall.gr,3,0.01,0.38,0.01,0.02
CFG_contiki_contiki_webclient_webclient_close.gr,1,0.01,0.21,0.0,0.02
CFG_contiki_contiki_webclient_webclient_filename.gr,1,0.01,0.18,0.0,0.02
CFG_contiki_contiki_webclient_webclient_get.gr,2,0.01,0.25,0.03,0.03
CFG_contiki_contiki_webclient_webclient_hostname.gr,1,0.01,0.15000000000000002,0.0,0.02
CFG_contiki_contiki_webclient_webclient_init.gr,1,0.01,0.16,0.0,0.03
CFG_contiki_contiki_webclient_webclient_mimetype.gr,1,0.01,0.19,0.0,0.02
CFG_contiki_contiki_webclient_webclient_port.gr,1,0.01,0.16999999999999998,0.0,0.02
CFG_contiki_contiki_webclient_window_copy.gr,2,0.01,0.29000000000000004,0.03,0.03
CFG_contiki_contiki_webserver-nogui_process_thread_webserver_nogui_process.gr,3,0.01,0.24,0.02,0.03
CFG_contiki_contiki_webserver-nogui_webserver_log.gr,1,0.01,0.16,0.0,0.03
CFG_contiki_contiki_webserver-nogui_webserver_log_file.gr,1,0.01,0.19,0.0,0.03
CFG_contiki_contiki_xmac_channel_check_interval.gr,1,0.01,0.16999999999999998,0.0,0.02
CFG_contiki_contiki_xmac_detect_ack.gr,2,0.01,0.29000000000000004,0.07,0.02
CFG_contiki_contiki_xmac_init.gr,1,0.01,0.21000000000000002,0.01,0.02
CFG_contiki_contiki_xmac_input_packet.gr,3,0.01,0.46,0.01,0.03
CFG_contiki_contiki_xmac_off.gr,2,0.01,0.16999999999999998,0.03,0.02
CFG_contiki_contiki_xmac_on.gr,2,0.01,0.16,0.03,0.04
CFG_contiki_contiki_xmac_powercycle.gr,4,0.02,0.43,0.01,0.04
CFG_contiki_contiki_xmac_powercycle_turn_radio_off.gr,2,0.02,0.19,0.0,0.02
CFG_contiki_contiki_xmac_powercycle_turn_radio_on.gr,2,0.01,0.15,0.04,0.04
CFG_contiki_contiki_xmac_qsend_packet.gr,2,0.01,0.19,0.01,0.02
CFG_contiki_contiki_xmac_register_encounter.gr,2,0.01,0.26,0.04,0.02
CFG_contiki_contiki_xmac_schedule_powercycle.gr,2,0.01,0.16,0.0,0.02
CFG_contiki_contiki_xmac_send_packet.gr,3,0.01,0.8099999999999999,0.07,0.05
CFG_contiki_contiki_xmac_turn_off.gr,2,0.01,0.19,0.0,0.02
CFG_contiki_contiki_xmac_turn_on.gr,1,0.02,0.18,0.0,0.02
CFG_contiki_contiki_xmac_xmac_set_announcement_radio_txpower.gr,1,0.01,0.16,0.01,0.04
CFG_coremark_coremark_core_list_join_calc_func.gr,2,0.01,0.41000000000000003,0.15,0.03
CFG_coremark_coremark_core_list_join_cmp_complex.gr,1,0.01,0.2,0.0,0.04
CFG_coremark_coremark_core_list_join_cmp_idx.gr,2,0.02,0.25,0.01,0.02
CFG_coremark_coremark_core_list_join_copy_info.gr,1,0.01,0.2,0.0,0.02
CFG_coremark_coremark_core_list_join_core_bench_list.gr,2,0.01,0.47,0.53,0.02
CFG_coremark_coremark_core_list_join_core_list_find.gr,3,0.01,0.26,0.0,0.03
CFG_coremark_coremark_core_list_join_core_list_init.gr,2,0.02,0.47000000000000003,0.18,0.03
CFG_coremark_coremark_core_list_join_core_list_insert_new.gr,2,0.01,0.25,0.03,0.03
CFG_coremark_coremark_core_list_join_core_list_mergesort.gr,3,0.03,0.39,0.01,0.03
CFG_coremark_coremark_core_list_join_core_list_remove.gr,1,0.01,0.2,0.0,0.02
CFG_coremark_coremark_core_list_join_core_list_reverse.gr,2,0.01,0.21000000000000002,0.0,0.02
CFG_coremark_coremark_core_list_join_core_list_undo_remove.gr,1,0.01,0.21000000000000002,0.0,0.02
CFG_coremark_coremark_core_main_iterate.gr,2,0.01,0.27,0.02,0.02
CFG_coremark_coremark_core_main_main.gr,2,0.04,3.65,56.160000000000004,0.04
CFG_coremark_coremark_core_matrix_core_bench_matrix.gr,1,0.01,0.19,0.0,0.02
CFG_coremark_coremark_core_matrix_core_init_matrix.gr,2,0.01,0.38,0.18,0.03
CFG_coremark_coremark_core_matrix_matrix_add_const.gr,2,0.01,0.24,0.01,0.02
CFG_coremark_coremark_core_matrix_matrix_mul_const.gr,2,0.01,0.23,0.02,0.02
CFG_coremark_coremark_core_matrix_matrix_mul_matrix.gr,2,0.01,0.30000000000000004,0.08,0.02
CFG_coremark_coremark_core_matrix_matrix_mul_matrix_bitextract.gr,2,0.02,0.33,0.12000000000000001,0.03
CFG_coremark_coremark_core_matrix_matrix_mul_vect.gr,2,0.01,0.27,0.04,0.02
CFG_coremark_coremark_core_matrix_matrix_sum.gr,2,0.02,0.32,0.060000000000000005,0.03
CFG_coremark_coremark_core_matrix_matrix_test.gr,1,0.02,0.3,0.01,0.03
CFG_coremark_coremark_core_portme_clock.gr,1,0.01,0.21000000000000002,0.0,0.03
CFG_coremark_coremark_core_portme_get_time.gr,1,0.01,0.19,0.0,0.03
CFG_coremark_coremark_core_portme_init.gr,1,0.01,0.18,0.01,0.02
CFG_coremark_coremark_core_portme_portable_fini.gr,1,0.01,0.16,0.0,0.02
CFG_coremark_coremark_core_portme_portable_init.gr,1,0.01,0.16,0.01,0.03
CFG_coremark_coremark_core_portme_putchar.gr,2,0.01,0.17,0.01,0.02
CFG_coremark_coremark_core_portme_start_time.gr,1,0.01,0.16,0.0,0.02
CFG_coremark_coremark_core_portme_stop_time.gr,1,0.01,0.18,0.01,0.03
CFG_coremark_coremark_core_portme_time_in_secs.gr,1,0.01,0.19,0.0,0.03
CFG_coremark_coremark_core_state_core_bench_state.gr,2,0.01,0.43,0.33,0.03
CFG_coremark_coremark_core_state_core_init_state.gr,2,0.01,0.39,0.18,0.02
CFG_coremark_coremark_core_state_core_state_transition.gr,3,0.04,0.73,0.02,0.03
CFG_coremark_coremark_core_state_ee_isdigit.gr,2,0.01,0.17,0.0,0.02
CFG_coremark_coremark_core_util_check_data_types.gr,1,0.01,0.18,0.0,0.02
CFG_coremark_coremark_core_util_crc16.gr,1,0.01,0.19,0.0,0.02
CFG_coremark_coremark_core_util_crcu16.gr,1,0.02,0.21000000000000002,0.01,0.03
CFG_coremark_coremark_core_util_crcu32.gr,1,0.01,0.21000000000000002,0.01,0.03
CFG_coremark_coremark_core_util_crcu8.gr,2,0.02,0.30000000000000004,0.03,0.02
CFG_coremark_coremark_core_util_get_seed_32.gr,2,0.02,0.3,0.02,0.03
CFG_dhrystone_shrystone_dhry_1_Proc_1.gr,2,0.01,0.29000000000000004,0.02,0.03
CFG_dhrystone_shrystone_dhry_1_Proc_2.gr,2,0.03,0.21,0.0,0.02
CFG_dhrystone_shrystone_dhry_1_Proc_3.gr,2,0.01,0.19,0.0,0.03
CFG_dhrystone_shrystone_dhry_1_Proc_4.gr,1,0.01,0.16999999999999998,0.0,0.02
CFG_dhrystone_shrystone_dhry_1_Proc_5.gr,1,0.01,0.16,0.0,0.02
CFG_dhrystone_shrystone_dhry_1_main.gr,2,0.02,3.31,28.64,0.04
CFG_dhrystone_shrystone_dhry_2_Func_1.gr,2,0.01,0.18,0.0,0.02
CFG_dhrystone_shrystone_dhry_2_Func_2.gr,2,0.01,0.28,0.05,0.03
CFG_dhrystone_shrystone_dhry_2_Func_3.gr,2,0.01,0.16999999999999998,0.0,0.03
CFG_dhrystone_shrystone_dhry_2_Proc_6.gr,2,0.01,0.26,0.02,0.03
CFG_dhrystone_shrystone_dhry_2_Proc_7.gr,1,0.01,0.16,0.01,0.02
CFG_dhrystone_shrystone_dhry_2_Proc_8.gr,2,0.01,0.26,0.01,0.02
CFG_dhrystone_shrystone_portme_clock.gr,1,0.02,0.16999999999999998,0.0,0.02
CFG_dhrystone_shrystone_portme_init.gr,1,0.01,0.21,0.01,0.02
CFG_dhrystone_shrystone_portme_putchar.gr,2,0.01,0.16999999999999998,0.01,0.02
CFG_fuzix_fuzix___getgrent___getgrent.gr,3,0.03,0.6,0.02,0.02
CFG_fuzix_fuzix___getpwent___getpwent.gr,3,0.02,0.72,0.04,0.04
CFG_fuzix_fuzix_abort_abort.gr,1,0.01,0.2,0.0,0.02
CFG_fuzix_fuzix_asctime_asctime.gr,2,0.01,0.21000000000000002,0.01,0.03
CFG_fuzix_fuzix_asctime_asctime_r.gr,2,0.01,0.39,0.07,0.02
CFG_fuzix_fuzix_asctime_hit.gr,1,0.02,0.19,0.0,0.03
CFG_fuzix_fuzix_assert___assert.gr,1,0.01,0.2,0.01,0.03
CFG_fuzix_fuzix_assert___errput.gr,1,0.01,0.18,0.01,0.03
CFG_fuzix_fuzix_atexit___do_exit.gr,2,0.02,0.2,0.01,0.04
CFG_fuzix_fuzix_atexit_atexit.gr,1,0.01,0.16999999999999998,0.0,0.04
CFG_fuzix_fuzix_atexit_on_exit.gr,2,0.01,0.22000000000000003,0.01,0.03
CFG_fuzix_fuzix_bankfixe_pagemap_add.gr,1,0.01,0.2,0.0,0.02
CFG_fuzix_fuzix_bankfixe_pagemap_alloc.gr,2,0.01,0.2,0.01,0.02
CFG_fuzix_fuzix_bankfixe_pagemap_free.gr,2,0.01,0.18,0.0,0.02
CFG_fuzix_fuzix_bankfixe_pagemap_mem_used.gr,1,0.01,0.19,0.01,0.02
CFG_fuzix_fuzix_bankfixe_pagemap_realloc.gr,2,0.01,0.19,0.01,0.02
CFG_fuzix_fuzix_bcmp_bcmp.gr,1,0.01,0.16999999999999998,0.0,0.04
CFG_fuzix_fuzix_bcopy_bcopy.gr,1,0.01,0.18,0.01,0.02
CFG_fuzix_fuzix_bsearch_bsearch.gr,2,0.01,0.24,0.02,0.02
CFG_fuzix_fuzix_bzero_bzero.gr,1,0.01,0.19,0.0,0.02
CFG_fuzix_fuzix_calloc_calloc.gr,2,0.01,0.2,0.0,0.02
CFG_fuzix_fuzix_cfmakeraw_cfmakeraw.gr,1,0.01,0.18,0.0,0.03
CFG_fuzix_fuzix_cfree_cfree.gr,1,0.01,0.16,0.0,0.03
CFG_fuzix_fuzix_cfspee_cfgetispeed.gr,1,0.01,0.19,0.0,0.02
CFG_fuzix_fuzix_cfspee_cfgetospeed.gr,1,0.01,0.19,0.0,0.02
CFG_fuzix_fuzix_cfspee_cfsetispeed.gr,1,0.01,0.16999999999999998,0.01,0.03
CFG_fuzix_fuzix_cfspee_cfsetospeed.gr,1,0.01,0.18,0.0,0.03
CFG_fuzix_fuzix_cfspee_cfsetspeed.gr,2,0.01,0.21,0.01,0.02
CFG_fuzix_fuzix_clock_clock.gr,1,0.01,0.18,0.0,0.02
CFG_fuzix_fuzix_clock_getres_clock_getres.gr,2,0.01,0.22,0.01,0.03
CFG_fuzix_fuzix_clock_gettime_clock_gettime.gr,2,0.01,0.26,0.03,0.03
CFG_fuzix_fuzix_clock_gettime_div10quickm.gr,1,0.02,0.21,0.0,0.02
CFG_fuzix_fuzix_clock_settime_clock_settime.gr,2,0.01,0.23,0.01,0.02
CFG_fuzix_fuzix_closedir_closedir.gr,2,0.01,0.27,0.02,0.02
CFG_fuzix_fuzix_confstr_confstr.gr,1,0.01,0.21,0.0,0.03
CFG_fuzix_fuzix_creat_creat.gr,1,0.01,0.15,0.0,0.02
CFG_fuzix_fuzix_crypt_crypt.gr,2,0.03,0.44,0.39,0.03
CFG_fuzix_fuzix_ctime_ctime.gr,1,0.01,0.19,0.0,0.02
CFG_fuzix_fuzix_ctype_tolower.gr,2,0.01,0.18,0.01,0.02
CFG_fuzix_fuzix_ctype_toupper.gr,2,0.02,0.16999999999999998,0.0,0.03
CFG_fuzix_fuzix_devf_fd_open.gr,2,0.01,0.2,0.01,0.04
CFG_fuzix_fuzix_devf_fd_read.gr,1,0.01,0.19,0.0,0.02
CFG_fuzix_fuzix_devf_fd_transfer.gr,3,0.02,0.51,0.02,0.03
CFG_fuzix_fuzix_devf_fd_write.gr,1,0.01,0.16,0.0,0.03
CFG_fuzix_fuzix_devh_DISCARDSEG.gr,1,0.01,0.16999999999999998,0.0,0.04
CFG_fuzix_fuzix_devh_hd_open.gr,3,0.02,0.24000000000000002,0.0,0.03
CFG_fuzix_fuzix_devh_hd_probe.gr,3,0.02,0.52,0.01,0.03
CFG_fuzix_fuzix_devh_hd_read.gr,1,0.01,0.16,0.0,0.02
CFG_fuzix_fuzix_devh_hd_swapon.gr,2,0.01,0.3,0.05,0.03
CFG_fuzix_fuzix_devh_hd_transfer.gr,3,0.02,0.5700000000000001,0.02,0.03
CFG_fuzix_fuzix_devh_hd_waitdrq.gr,2,0.01,0.2,0.0,0.02
CFG_fuzix_fuzix_devh_hd_waitready.gr,2,0.01,0.2,0.0,0.02
CFG_fuzix_fuzix_devh_hd_write.gr,1,0.01,0.17,0.0,0.03
CFG_fuzix_fuzix_devh_hd_xfer.gr,2,0.01,0.18,0.0,0.02
CFG_fuzix_fuzix_devices_DISCARDSEG.gr,1,0.01,0.19,0.0,0.02
CFG_fuzix_fuzix_devices_device_init.gr,1,0.01,0.18,0.0,0.03
CFG_fuzix_fuzix_devices_validdev.gr,2,0.01,0.16,0.0,0.03
CFG_fuzix_fuzix_devio_bawrite.gr,1,0.01,0.16,0.0,0.02
CFG_fuzix_fuzix_devio_bdread.gr,2,0.01,0.22,0.0,0.02
CFG_fuzix_fuzix_devio_bdwrite.gr,2,0.01,0.2,0.0,0.02
CFG_fuzix_fuzix_devio_bfind.gr,3,0.01,0.21,0.0,0.02
CFG_fuzix_fuzix_devio_bfree.gr,2,0.01,0.23,0.01,0.02
CFG_fuzix_fuzix_devio_bread.gr,2,0.01,0.26,0.03,0.02
CFG_fuzix_fuzix_devio_brelse.gr,1,0.01,0.17,0.0,0.02
CFG_fuzix_fuzix_devio_bufdiscard.gr,2,0.01,0.2,0.0,0.03
CFG_fuzix_fuzix_devio_bufdump.gr,2,0.01,0.29000000000000004,0.02,0.03
CFG_fuzix_fuzix_devio_bufsync.gr,2,0.01,0.22,0.01,0.03
CFG_fuzix_fuzix_devio_cdread.gr,2,0.01,0.23,0.0,0.03
CFG_fuzix_fuzix_devio_cdwrite.gr,2,0.01,0.19,0.0,0.02
CFG_fuzix_fuzix_devio_clrq.gr,1,0.01,0.19,0.0,0.04
CFG_fuzix_fuzix_devio_d_close.gr,2,0.01,0.18,0.01,0.04
CFG_fuzix_fuzix_devio_d_ioctl.gr,2,0.01,0.26,0.02,0.03
CFG_fuzix_fuzix_devio_d_open.gr,2,0.02,0.21,0.01,0.03
CFG_fuzix_fuzix_devio_freebuf.gr,2,0.02,0.29000000000000004,0.03,0.04
CFG_fuzix_fuzix_devio_insq.gr,2,0.01,0.28,0.01,0.03
CFG_fuzix_fuzix_devio_kprintf.gr,3,0.01,0.38,0.01,0.03
CFG_fuzix_fuzix_devio_kputhex.gr,1,0.01,0.18,0.0,0.04
CFG_fuzix_fuzix_devio_kputnum.gr,2,0.02,0.2,0.0,0.02
CFG_fuzix_fuzix_devio_kputs.gr,2,0.02,0.19,0.0,0.03
CFG_fuzix_fuzix_devio_kputunum.gr,1,0.03,0.24,0.01,0.03
CFG_fuzix_fuzix_devio_no_close.gr,1,0.01,0.19,0.01,0.03
CFG_fuzix_fuzix_devio_no_ioctl.gr,1,0.01,0.16,0.0,0.03
CFG_fuzix_fuzix_devio_no_open.gr,1,0.01,0.16,0.0,0.03
CFG_fuzix_fuzix_devio_no_rdwr.gr,1,0.01,0.18,0.01,0.02
CFG_fuzix_fuzix_devio_nxio_open.gr,1,0.01,0.16,0.01,0.02
CFG_fuzix_fuzix_devio_psleep_flags.gr,3,0.01,0.23,0.0,0.02
CFG_fuzix_fuzix_devio_putdigit.gr,2,0.01,0.21,0.01,0.02
CFG_fuzix_fuzix_devio_putdigit0.gr,1,0.01,0.19,0.0,0.02
CFG_fuzix_fuzix_devio_remq.gr,2,0.01,0.28,0.03,0.02
CFG_fuzix_fuzix_devio_tmpbuf.gr,1,0.01,0.2,0.02,0.02
CFG_fuzix_fuzix_devio_uninsq.gr,2,0.01,0.24000000000000002,0.02,0.02
CFG_fuzix_fuzix_devio_zerobuf.gr,1,0.01,0.17,0.0,0.02
CFG_fuzix_fuzix_devlpr_lpr_close.gr,1,0.01,0.18,0.0,0.02
CFG_fuzix_fuzix_devlpr_lpr_open.gr,1,0.01,0.2,0.0,0.02
CFG_fuzix_fuzix_devlpr_lpr_write.gr,2,0.01,0.23,0.0,0.02
CFG_fuzix_fuzix_devsys_sys_ioctl.gr,3,0.02,0.25,0.0,0.02
CFG_fuzix_fuzix_devsys_sys_read.gr,2,0.02,0.37,0.11,0.03
CFG_fuzix_fuzix_devsys_sys_write.gr,2,0.01,0.28,0.03,0.03
CFG_fuzix_fuzix_devtty_kbd_interrupt.gr,2,0.01,0.16,0.02,0.03
CFG_fuzix_fuzix_devtty_keydecode.gr,2,0.01,0.37,0.17,0.03
CFG_fuzix_fuzix_devtty_keyproc.gr,2,0.01,0.31,0.1,0.03
CFG_fuzix_fuzix_devtty_kputchar.gr,2,0.02,0.18,0.01,0.03
CFG_fuzix_fuzix_devtty_trstty_close.gr,2,0.01,0.2,0.0,0.03
CFG_fuzix_fuzix_devtty_tty_carrier.gr,2,0.01,0.18,0.0,0.02
CFG_fuzix_fuzix_devtty_tty_interrupt.gr,2,0.01,0.19,0.01,0.03
CFG_fuzix_fuzix_devtty_tty_putc.gr,2,0.01,0.18,0.0,0.02
CFG_fuzix_fuzix_devtty_tty_setup.gr,2,0.01,0.3,0.04,0.02
CFG_fuzix_fuzix_devtty_tty_writeready.gr,2,0.01,0.2,0.01,0.03
CFG_fuzix_fuzix_difftime_difftime.gr,1,0.01,0.32,0.01,0.03
CFG_fuzix_fuzix_err__vdo.gr,2,0.02,0.26,0.02,0.04
CFG_fuzix_fuzix_err_err.gr,1,0.01,0.17,0.0,0.02
CFG_fuzix_fuzix_err_errc.gr,1,0.01,0.19,0.0,0.03
CFG_fuzix_fuzix_err_errx.gr,1,0.02,0.21000000000000002,0.0,0.02
CFG_fuzix_fuzix_err_verr.gr,1,0.01,0.16999999999999998,0.0,0.04
CFG_fuzix_fuzix_err_verrc.gr,1,0.01,0.18,0.0,0.04
CFG_fuzix_fuzix_err_verrx.gr,1,0.01,0.18,0.01,0.04
CFG_fuzix_fuzix_err_vwarn.gr,1,0.01,0.19,0.0,0.04
CFG_fuzix_fuzix_err_vwarnc.gr,1,0.01,0.18,0.01,0.04
CFG_fuzix_fuzix_err_vwarnx.gr,1,0.01,0.17,0.0,0.03
CFG_fuzix_fuzix_err_warn.gr,1,0.01,0.18,0.01,0.02
CFG_fuzix_fuzix_err_warnc.gr,1,0.01,0.17,0.01,0.04
CFG_fuzix_fuzix_err_warnx.gr,1,0.01,0.2,0.0,0.03
CFG_fuzix_fuzix_error_strerror.gr,3,0.01,0.47000000000000003,0.02,0.03
CFG_fuzix_fuzix_execl__findPath.gr,3,0.03,0.38,0.01,0.04
CFG_fuzix_fuzix_execl_execl.gr,1,0.01,0.16999999999999998,0.0,0.03
CFG_fuzix_fuzix_execl_execlp.gr,1,0.01,0.2,0.0,0.03
CFG_fuzix_fuzix_execv_execv.gr,1,0.01,0.16,0.0,0.02
CFG_fuzix_fuzix_execvp_execvp.gr,1,0.01,0.14,0.04,0.02
CFG_fuzix_fuzix_exit_exit.gr,1,0.01,0.21,0.0,0.02
CFG_fuzix_fuzix_fclose_fclose.gr,3,0.01,0.35000000000000003,0.0,0.02
CFG_fuzix_fuzix_fflush_fflush.gr,3,0.01,0.41000000000000003,0.01,0.02
CFG_fuzix_fuzix_fgetc_fgetc.gr,3,0.01,0.28,0.01,0.03
CFG_fuzix_fuzix_fgetgrent_fgetgrent.gr,2,0.01,0.19,0.0,0.03
CFG_fuzix_fuzix_fgetpos_fgetpos.gr,2,0.01,0.25,0.01,0.03
CFG_fuzix_fuzix_fgetpwent_fgetpwent.gr,2,0.01,0.19,0.0,0.02
CFG_fuzix_fuzix_fgets_fgets.gr,3,0.01,0.28,0.01,0.03
CFG_fuzix_fuzix_filesys_baddev.gr,1,0.01,0.19,0.0,0.02
CFG_fuzix_fuzix_filesys_blk_alloc.gr,3,0.01,0.43999999999999995,0.01,0.02
CFG_fuzix_fuzix_filesys_blk_free.gr,2,0.01,0.27,0.07,0.03
CFG_fuzix_fuzix_filesys_bmap.gr,3,0.01,0.46,0.02,0.03
CFG_fuzix_fuzix_filesys_ch_link.gr,3,0.01,0.47000000000000003,0.02,0.03
CFG_fuzix_fuzix_filesys_deflock.gr,2,0.01,0.23,0.01,0.02
CFG_fuzix_fuzix_filesys_devnum.gr,1,0.01,0.19,0.0,0.03
CFG_fuzix_fuzix_filesys_esuper.gr,2,0.02,0.21000000000000002,0.0,0.02
CFG_fuzix_fuzix_filesys_f_trunc.gr,2,0.01,0.23,0.01,0.02
CFG_fuzix_fuzix_filesys_filename.gr,3,0.01,0.29000000000000004,0.0,0.04
CFG_fuzix_fuzix_filesys_fmount.gr,3,0.01,0.3,0.0,0.04
CFG_fuzix_fuzix_filesys_freeblk.gr,2,0.01,0.28,0.05,0.03
CFG_fuzix_fuzix_filesys_fs_tab_get.gr,2,0.01,0.22,0.01,0.04
CFG_fuzix_fuzix_filesys_getdev.gr,2,0.01,0.29000000000000004,0.04,0.03
CFG_fuzix_fuzix_filesys_getinode.gr,3,0.01,0.30000000000000004,0.0,0.02
CFG_fuzix_fuzix_filesys_getmode.gr,1,0.01,0.19,0.01,0.03
CFG_fuzix_fuzix_filesys_getperm.gr,2,0.01,0.25,0.02,0.02
CFG_fuzix_fuzix_filesys_i_alloc.gr,3,0.01,0.43,0.02,0.04
CFG_fuzix_fuzix_filesys_i_deref.gr,3,0.01,0.41000000000000003,0.02,0.04
CFG_fuzix_fuzix_filesys_i_free.gr,3,0.01,0.24,0.0,0.03
CFG_fuzix_fuzix_filesys_i_open.gr,3,0.01,0.51,0.03,0.03
CFG_fuzix_fuzix_filesys_i_ref.gr,1,0.01,0.16999999999999998,0.01,0.02
CFG_fuzix_fuzix_filesys_isdevice.gr,1,0.01,0.19,0.0,0.03
CFG_fuzix_fuzix_filesys_kn_open.gr,3,0.02,0.54,0.04,0.03
CFG_fuzix_fuzix_filesys_magic.gr,2,0.01,0.16,0.0,0.02
CFG_fuzix_fuzix_filesys_n_open.gr,2,0.01,0.2,0.02,0.03
CFG_fuzix_fuzix_filesys_namecomp.gr,3,0.01,0.27,0.0,0.03
CFG_fuzix_fuzix_filesys_newfile.gr,2,0.03,0.32,0.1,0.03
CFG_fuzix_fuzix_filesys_newfstab.gr,2,0.01,0.19,0.01,0.02
CFG_fuzix_fuzix_filesys_oft_alloc.gr,2,0.02,0.23,0.01,0.02
CFG_fuzix_fuzix_filesys_oft_deref.gr,2,0.01,0.19,0.0,0.03
CFG_fuzix_fuzix_filesys_setftime.gr,2,0.01,0.24,0.01,0.03
