instance,fhtw,n,kn,time,phase,minseps,pmcs
hypergraphs_mdd-7-25-5-56-18.xml.hg,3.429,25,25,0.04,5,3,6
hypergraphs_mdd-7-25-5-56-19.xml.hg,3.429,25,25,0.05,5,2,4
hypergraphs_mdd-7-25-5-56-20.xml.hg,3.429,25,25,0.03,5,2,4
hypergraphs_mdd-7-25-5-56-21.xml.hg,3.429,25,25,0.05,5,3,6
hypergraphs_mdd-7-25-5-56-22.xml.hg,3.429,25,25,0.03,5,2,4
hypergraphs_mdd-7-25-5-56-23.xml.hg,3.429,25,25,0.04,5,2,4
hypergraphs_mdd-7-25-5-56-24.xml.hg,3.459,25,25,0.04,5,3,5
hypergraphs_mdd-7-25-5-56-25.xml.hg,3.394,25,25,0.06,5,6,10
hypergraphs_mdd-7-25-5-ps05-psh07-1.xml.hg,3.429,25,25,0.04,5,2,4
hypergraphs_mdd-7-25-5-ps05-psh07-2.xml.hg,3.370,25,25,0.06,5,6,11
hypergraphs_mdd-7-25-5-ps05-psh07-3.xml.hg,3.378,25,25,0.04,5,4,7
hypergraphs_mdd-7-25-5-ps05-psh07-4.xml.hg,3.429,25,25,0.05,5,2,4
hypergraphs_mdd-7-25-5-ps05-psh07-5.xml.hg,3.334,25,25,0.05,5,3,5
hypergraphs_mdd-7-25-5-ps05-psh07-6.xml.hg,3.326,25,25,0.05,5,3,5
hypergraphs_mdd-7-25-5-ps05-psh07-7.xml.hg,3.429,25,25,0.05,5,3,6
hypergraphs_mdd-7-25-5-ps05-psh07-8.xml.hg,3.441,25,25,0.05,5,3,6
hypergraphs_mdd-7-25-5-ps05-psh07-9.xml.hg,3.429,25,25,0.05,5,3,6
hypergraphs_mdd-7-25-5-ps05-psh09-0.xml.hg,3.338,25,25,0.04,5,4,7
hypergraphs_mdd-7-25-5-ps05-psh09-1.xml.hg,3.429,25,25,0.05,5,3,6
hypergraphs_mdd-7-25-5-ps05-psh09-2.xml.hg,3.447,25,25,0.05,5,2,4
hypergraphs_mdd-7-25-5-ps05-psh09-3.xml.hg,3.442,25,25,0.04,5,2,4
hypergraphs_mdd-7-25-5-ps05-psh09-4.xml.hg,3.425,25,25,0.05,5,5,9
hypergraphs_mdd-7-25-5-ps05-psh09-5.xml.hg,3.447,25,0,0.03,1,0,0
hypergraphs_mdd-7-25-5-ps05-psh09-6.xml.hg,3.302,25,25,0.04,5,4,7
hypergraphs_mdd-7-25-5-ps05-psh09-7.xml.hg,3.429,25,0,0.04,1,0,0
hypergraphs_mdd-7-25-5-ps05-psh09-8.xml.hg,3.429,25,0,0.04,1,0,0
hypergraphs_mdd-7-25-5-ps05-psh09-9.xml.hg,3.429,25,25,0.05,5,3,6
hypergraphs_NewSystem1.hg,3.000,142,61,2.71,5,1306,22311
hypergraphs_NewSystem2.hg,3.000,345,100,182.01,5,25102,1298845
hypergraphs_NewSystem3.hg,-1,474,193,TO,3,20684096,5656
hypergraphs_NewSystem4.hg,-1,718,243,TO,3,1604859,10513
hypergraphs_Nonogram-001-table.xml.hg,-1,576,576,TO,2,30177522,0
hypergraphs_Nonogram-002-table.xml.hg,-1,1024,1024,TO,2,19411790,0
hypergraphs_Nonogram-003-table.xml.hg,-1,400,400,TO,2,56095165,0
hypergraphs_Nonogram-004-table.xml.hg,-1,576,576,TO,2,33553180,0
hypergraphs_Nonogram-005-table.xml.hg,-1,576,576,TO,2,34596216,0
hypergraphs_Nonogram-006-table.xml.hg,-1,576,576,TO,2,33460116,0
hypergraphs_Nonogram-007-table.xml.hg,-1,1056,1056,TO,2,18286948,0
hypergraphs_Nonogram-008-table.xml.hg,-1,576,576,TO,2,34724502,0
hypergraphs_Nonogram-009-table.xml.hg,-1,1015,1015,TO,2,19775144,0
hypergraphs_Nonogram-010-table.xml.hg,-1,400,400,TO,2,55304798,0
hypergraphs_Nonogram-011-table.xml.hg,-1,576,576,TO,2,34816029,0
hypergraphs_Nonogram-012-table.xml.hg,-1,1024,1024,TO,2,18726266,0
hypergraphs_Nonogram-013-table.xml.hg,-1,576,576,TO,2,35206899,0
hypergraphs_Nonogram-014-table.xml.hg,-1,576,576,TO,2,35023073,0
hypergraphs_Nonogram-015-table.xml.hg,-1,1024,1024,TO,2,19411790,0
hypergraphs_Nonogram-016-table.xml.hg,-1,1024,1024,TO,2,19295762,0
hypergraphs_Nonogram-017-table.xml.hg,-1,400,400,TO,2,56445536,0
hypergraphs_Nonogram-018-table.xml.hg,-1,576,576,TO,2,35023073,0
hypergraphs_Nonogram-020-table.xml.hg,-1,1024,1024,TO,2,19295762,0
hypergraphs_Nonogram-021-table.xml.hg,-1,576,576,TO,2,35023073,0
hypergraphs_Nonogram-022-table.xml.hg,-1,1024,1024,TO,2,19191005,0
hypergraphs_Nonogram-023-table.xml.hg,-1,576,576,TO,2,34987460,0
hypergraphs_Nonogram-024-table.xml.hg,-1,1024,1024,TO,2,19411790,0
hypergraphs_Nonogram-025-table.xml.hg,-1,1024,1024,TO,2,18726266,0
hypergraphs_Nonogram-027-table.xml.hg,-1,576,576,TO,2,33322229,0
hypergraphs_Nonogram-028-table.xml.hg,-1,1024,1024,TO,2,19191005,0
hypergraphs_Nonogram-029-table.xml.hg,-1,576,576,TO,2,33553180,0
hypergraphs_Nonogram-030-table.xml.hg,-1,400,400,TO,2,55809938,0
hypergraphs_Nonogram-031-table.xml.hg,-1,576,576,TO,2,34662400,0
hypergraphs_Nonogram-032-table.xml.hg,-1,400,400,TO,2,56034604,0
hypergraphs_Nonogram-033-table.xml.hg,-1,1024,1024,TO,2,19411790,0
hypergraphs_Nonogram-034-table.xml.hg,-1,576,576,TO,2,33592139,0
hypergraphs_Nonogram-035-table.xml.hg,-1,576,576,TO,2,34929678,0
hypergraphs_Nonogram-036-table.xml.hg,-1,1024,1024,TO,2,19411790,0
hypergraphs_Nonogram-037-table.xml.hg,-1,400,400,TO,2,56221274,0
hypergraphs_Nonogram-038-table.xml.hg,-1,980,980,TO,2,19429913,0
hypergraphs_Nonogram-039-table.xml.hg,-1,1024,1024,TO,2,18588399,0
hypergraphs_Nonogram-040-table.xml.hg,-1,640,640,TO,2,32514659,0
hypergraphs_Nonogram-041-table.xml.hg,-1,256,256,TO,2,95794315,0
hypergraphs_Nonogram-042-table.xml.hg,-1,256,256,TO,2,92908614,0
hypergraphs_Nonogram-043-table.xml.hg,-1,256,256,TO,2,95885939,0
hypergraphs_Nonogram-044-table.xml.hg,-1,576,576,TO,2,33912393,0
hypergraphs_Nonogram-045-table.xml.hg,-1,256,256,TO,2,95296555,0
hypergraphs_Nonogram-047-table.xml.hg,-1,400,400,TO,2,55764254,0
hypergraphs_Nonogram-048-table.xml.hg,-1,400,400,TO,2,56316134,0
hypergraphs_Nonogram-049-table.xml.hg,-1,256,256,TO,2,95102728,0
hypergraphs_Nonogram-050-table.xml.hg,-1,256,256,TO,2,95369570,0
hypergraphs_Nonogram-051-table.xml.hg,-1,576,576,TO,2,34929678,0
hypergraphs_Nonogram-053-table.xml.hg,-1,576,576,TO,2,34724502,0
hypergraphs_Nonogram-054-table.xml.hg,-1,576,576,TO,2,34724502,0
hypergraphs_Nonogram-055-table.xml.hg,-1,1024,1024,TO,2,19411790,0
hypergraphs_Nonogram-056-table.xml.hg,-1,256,256,TO,2,95591859,0
hypergraphs_Nonogram-057-table.xml.hg,-1,576,576,TO,2,34778274,0
hypergraphs_Nonogram-058-table.xml.hg,-1,1024,1024,TO,2,19411790,0
hypergraphs_Nonogram-059-table.xml.hg,-1,576,576,TO,2,35115864,0
hypergraphs_Nonogram-060-table.xml.hg,-1,576,576,TO,2,33509289,0
hypergraphs_Nonogram-062-table.xml.hg,-1,256,256,TO,2,90657145,0
hypergraphs_Nonogram-063-table.xml.hg,-1,256,256,TO,2,94338590,0
hypergraphs_Nonogram-064-table.xml.hg,-1,400,400,TO,2,53258195,0
hypergraphs_Nonogram-066-table.xml.hg,-1,400,400,TO,2,54155739,0
hypergraphs_Nonogram-067-table.xml.hg,-1,1024,1024,TO,2,19191005,0
hypergraphs_Nonogram-068-table.xml.hg,-1,256,256,TO,2,95912237,0
hypergraphs_Nonogram-070-table.xml.hg,-1,576,576,TO,2,35080547,0
hypergraphs_Nonogram-072-table.xml.hg,-1,576,576,TO,2,33553180,0
hypergraphs_Nonogram-073-table.xml.hg,-1,400,400,TO,2,56063603,0
hypergraphs_Nonogram-074-table.xml.hg,-1,384,384,TO,2,68777218,0
hypergraphs_Nonogram-075-table.xml.hg,-1,1024,1024,TO,2,19295762,0
hypergraphs_Nonogram-076-table.xml.hg,-1,400,400,TO,2,55550911,0
hypergraphs_Nonogram-077-table.xml.hg,-1,1024,1024,TO,2,18826791,0
hypergraphs_Nonogram-078-table.xml.hg,-1,576,576,TO,2,33270538,0
hypergraphs_Nonogram-080-table.xml.hg,-1,400,400,TO,2,56194780,0
hypergraphs_Nonogram-081-table.xml.hg,-1,576,576,TO,2,33714882,0
hypergraphs_Nonogram-082-table.xml.hg,-1,784,784,TO,2,26188385,0
hypergraphs_Nonogram-083-table.xml.hg,-1,256,256,TO,2,92559913,0
hypergraphs_Nonogram-084-table.xml.hg,-1,256,256,TO,2,94581905,0
hypergraphs_Nonogram-085-table.xml.hg,-1,576,576,TO,2,34893535,0
hypergraphs_Nonogram-087-table.xml.hg,-1,576,576,TO,2,35115864,0
hypergraphs_Nonogram-089-table.xml.hg,-1,400,400,TO,2,55958765,0
hypergraphs_Nonogram-091-table.xml.hg,-1,1024,1024,TO,2,19411790,0
hypergraphs_Nonogram-092-table.xml.hg,-1,1024,1024,TO,2,19411790,0
hypergraphs_Nonogram-093-table.xml.hg,-1,256,256,TO,2,95296555,0
hypergraphs_Nonogram-094-table.xml.hg,-1,576,576,TO,2,35115864,0
hypergraphs_Nonogram-096-table.xml.hg,-1,576,576,TO,2,35080547,0
hypergraphs_Nonogram-097-table.xml.hg,-1,256,256,TO,2,95835922,0
hypergraphs_Nonogram-098-table.xml.hg,-1,400,400,TO,2,54884196,0
hypergraphs_Nonogram-099-table.xml.hg,-1,576,576,TO,2,34987460,0
hypergraphs_Nonogram-100-table.xml.hg,-1,1024,1024,TO,2,19522555,0
hypergraphs_Nonogram-101-table.xml.hg,-1,435,435,TO,2,57315947,0
hypergraphs_Nonogram-102-table.xml.hg,-1,576,576,TO,2,33218310,0
hypergraphs_Nonogram-104-table.xml.hg,-1,400,400,TO,2,54972691,0
hypergraphs_Nonogram-105-table.xml.hg,-1,1024,1024,TO,2,18726266,0
hypergraphs_Nonogram-106-table.xml.hg,-1,256,256,TO,2,93394622,0
hypergraphs_Nonogram-107-table.xml.hg,-1,1024,1024,TO,2,19191005,0
hypergraphs_Nonogram-108-table.xml.hg,-1,1024,1024,TO,2,19411790,0
hypergraphs_Nonogram-109-table.xml.hg,-1,256,256,TO,2,78312467,0
hypergraphs_Nonogram-110-table.xml.hg,-1,400,400,TO,2,55932265,0
hypergraphs_Nonogram-111-table.xml.hg,-1,576,576,TO,2,30465390,0
hypergraphs_Nonogram-113-table.xml.hg,-1,400,400,TO,2,56348945,0
hypergraphs_Nonogram-114-table.xml.hg,-1,576,576,TO,2,34567876,0
hypergraphs_Nonogram-115-table.xml.hg,-1,400,400,TO,2,54612310,0
hypergraphs_Nonogram-116-table.xml.hg,-1,1024,1024,TO,2,19191005,0
hypergraphs_Nonogram-117-table.xml.hg,-1,400,400,TO,2,53230474,0
hypergraphs_Nonogram-118-table.xml.hg,-1,576,576,TO,2,34408210,0
hypergraphs_Nonogram-119-table.xml.hg,-1,1024,1024,TO,2,18726266,0
hypergraphs_Nonogram-120-table.xml.hg,-1,576,576,TO,2,35171772,0
hypergraphs_Nonogram-121-table.xml.hg,-1,1024,1024,TO,2,18961941,0
hypergraphs_Nonogram-123-table.xml.hg,-1,400,400,TO,2,50667357,0
hypergraphs_Nonogram-124-table.xml.hg,-1,576,576,TO,2,33714882,0
hypergraphs_Nonogram-125-table.xml.hg,-1,1024,1024,TO,2,19411790,0
hypergraphs_Nonogram-126-table.xml.hg,-1,256,256,TO,2,78033402,0
hypergraphs_Nonogram-127-table.xml.hg,-1,256,256,TO,2,78199908,0
hypergraphs_Nonogram-128-table.xml.hg,-1,1024,1024,TO,2,19411790,0
hypergraphs_Nonogram-129-table.xml.hg,-1,576,576,TO,2,35115864,0
hypergraphs_Nonogram-131-table.xml.hg,-1,576,576,TO,2,34442701,0
hypergraphs_Nonogram-132-table.xml.hg,-1,400,400,TO,2,56034604,0
hypergraphs_Nonogram-133-table.xml.hg,-1,576,576,TO,2,35171772,0
hypergraphs_Nonogram-134-table.xml.hg,-1,576,576,TO,2,33592139,0
hypergraphs_Nonogram-135-table.xml.hg,-1,672,672,TO,2,29674094,0
hypergraphs_Nonogram-136-table.xml.hg,-1,576,576,TO,2,34662400,0
hypergraphs_Nonogram-137-table.xml.hg,-1,1024,1024,TO,2,18486456,0
hypergraphs_Nonogram-138-table.xml.hg,-1,576,576,TO,2,33218310,0
hypergraphs_Nonogram-140-table.xml.hg,-1,400,400,TO,2,49622642,0
hypergraphs_Nonogram-141-table.xml.hg,-1,1024,1024,TO,2,18486456,0
hypergraphs_Nonogram-142-table.xml.hg,-1,576,576,TO,2,33553180,0
hypergraphs_Nonogram-144-table.xml.hg,-1,256,256,TO,2,92664629,0
hypergraphs_Nonogram-145-table.xml.hg,-1,256,256,TO,2,78271944,0
hypergraphs_Nonogram-146-table.xml.hg,-1,400,400,TO,2,51635202,0
hypergraphs_Nonogram-147-table.xml.hg,-1,400,400,TO,2,55322711,0
hypergraphs_Nonogram-148-table.xml.hg,-1,576,576,TO,2,33509289,0
hypergraphs_Nonogram-149-table.xml.hg,-1,256,256,TO,2,93249506,0
hypergraphs_Nonogram-150-table.xml.hg,-1,576,576,TO,2,34492633,0
hypergraphs_Nonogram-151-table.xml.hg,-1,1024,1024,TO,2,18588399,0
hypergraphs_Nonogram-152-table.xml.hg,-1,400,400,TO,2,56221274,0
hypergraphs_Nonogram-153-table.xml.hg,-1,1024,1024,TO,2,18588399,0
hypergraphs_Nonogram-155-table.xml.hg,-1,256,256,TO,2,77841554,0
hypergraphs_Nonogram-156-table.xml.hg,-1,256,256,TO,2,76836460,0
hypergraphs_Nonogram-157-table.xml.hg,-1,400,400,TO,2,56293393,0
hypergraphs_Nonogram-158-table.xml.hg,-1,576,576,TO,2,33172463,0
hypergraphs_Nonogram-159-table.xml.hg,-1,576,576,TO,2,34099515,0
hypergraphs_Nonogram-160-table.xml.hg,-1,576,576,TO,2,33714882,0
hypergraphs_Nonogram-161-table.xml.hg,-1,256,256,TO,2,95610181,0
hypergraphs_Nonogram-162-table.xml.hg,-1,576,576,TO,2,34442701,0
hypergraphs_Nonogram-163-table.xml.hg,-1,1024,1024,TO,2,19061683,0
hypergraphs_Nonogram-164-table.xml.hg,-1,256,256,TO,2,96157546,0
hypergraphs_Nonogram-165-table.xml.hg,-1,576,576,TO,2,34987460,0
hypergraphs_Nonogram-166-table.xml.hg,-1,576,576,TO,2,33814705,0
hypergraphs_Nonogram-167-table.xml.hg,-1,576,576,TO,2,35115864,0
hypergraphs_Nonogram-168-table.xml.hg,-1,400,400,TO,2,55791757,0
hypergraphs_Nonogram-169-table.xml.hg,-1,576,576,TO,2,34099515,0
hypergraphs_Nonogram-170-table.xml.hg,-1,1024,1024,TO,2,19295762,0
hypergraphs_Nonogram-171-table.xml.hg,-1,256,256,TO,2,94173207,0
hypergraphs_Nonogram-172-table.xml.hg,-1,400,400,TO,2,49622642,0
hypergraphs_Nonogram-173-table.xml.hg,-1,576,576,TO,2,33592139,0
hypergraphs_Nonogram-175-table.xml.hg,-1,576,576,TO,2,33714882,0
hypergraphs_Nonogram-176-table.xml.hg,-1,256,256,TO,2,74720455,0
hypergraphs_Nonogram-177-table.xml.hg,-1,1024,1024,TO,2,18588399,0
hypergraphs_Nonogram-178-table.xml.hg,-1,768,768,TO,2,26618970,0
hypergraphs_Nonogram-179-table.xml.hg,-1,576,576,TO,2,34325220,0
hypergraphs_Nonogram-180-table.xml.hg,-1,1024,1024,TO,2,19295762,0
hypergraphs_Ontology-256-q10.hg,1.000,10,0,0.02,1,0,0
hypergraphs_Ontology-256-q11.hg,1.000,16,0,0.03,1,0,0
hypergraphs_Ontology-256-q12.hg,1.000,13,0,0.03,1,0,0
hypergraphs_Ontology-256-q13.hg,1.000,19,0,0.03,1,0,0
hypergraphs_Ontology-256-q14.hg,1.000,11,0,0.03,1,0,0
hypergraphs_Ontology-256-q15.hg,1.000,12,0,0.03,1,0,0
hypergraphs_Ontology-256-q16.hg,1.000,21,0,0.02,1,0,0
hypergraphs_Ontology-256-q17.hg,1.000,24,0,0.03,1,0,0
hypergraphs_Ontology-256-q18.hg,1.000,22,0,0.02,1,0,0
hypergraphs_Ontology-256-q19.hg,1.000,17,0,0.03,1,0,0
hypergraphs_Ontology-256-q1.hg,1.000,4,0,0.02,1,0,0
hypergraphs_Ontology-256-q20.hg,1.000,19,0,0.03,1,0,0
hypergraphs_Ontology-256-q2.hg,1.000,7,0,0.02,1,0,0
hypergraphs_Ontology-256-q3.hg,1.000,9,0,0.02,1,0,0
hypergraphs_Ontology-256-q4.hg,1.000,6,0,0.02,1,0,0
hypergraphs_Ontology-256-q5.hg,1.000,7,0,0.02,1,0,0
hypergraphs_Ontology-256-q6.hg,1.000,13,0,0.03,1,0,0
hypergraphs_Ontology-256-q7.hg,1.000,8,0,0.03,1,0,0
hypergraphs_Ontology-256-q8.hg,1.000,11,0,0.03,1,0,0
hypergraphs_Ontology-256-q9.hg,1.000,8,0,0.02,1,0,0
hypergraphs_par8-1-c.hg,-1,64,63,TO,3,26362064,0
hypergraphs_par8-2-c.hg,-1,68,67,TO,3,75221547,0
hypergraphs_par8-3-c.hg,-1,75,74,TO,2,336338087,0
hypergraphs_par8-4-c.hg,-1,67,66,TO,3,37014760,0
hypergraphs_par8-5-c.hg,-1,75,74,TO,2,353911881,0
hypergraphs_Pi-20-10-20-30-00.xml.hg,4.000,20,20,0.17,5,166,682
hypergraphs_Pi-20-10-20-30-01.xml.hg,4.000,20,20,0.17,5,161,687
hypergraphs_Pi-20-10-20-30-02.xml.hg,4.000,20,19,0.15,5,140,562
hypergraphs_Pi-20-10-20-30-03.xml.hg,4.000,20,19,0.15,5,136,525
hypergraphs_Pi-20-10-20-30-04.xml.hg,4.500,20,20,0.24,5,242,1114
hypergraphs_Pi-20-10-20-30-05.xml.hg,4.500,20,20,0.2,5,191,864
hypergraphs_Pi-20-10-20-30-06.xml.hg,4.000,20,20,0.18,5,170,718
hypergraphs_Pi-20-10-20-30-07.xml.hg,4.000,20,19,0.16,5,137,560
hypergraphs_Pi-20-10-20-30-08.xml.hg,4.500,20,19,0.18,5,160,640
hypergraphs_Pi-20-10-20-30-09.xml.hg,4.000,20,20,0.15,5,117,407
hypergraphs_Pi-20-10-20-30-10.xml.hg,4.000,20,20,0.22,5,227,1027
hypergraphs_Pi-20-10-20-30-11.xml.hg,4.000,20,19,0.16,5,127,496
hypergraphs_Pi-20-10-20-30-12.xml.hg,4.000,20,20,0.18,5,166,647
hypergraphs_Pi-20-10-20-30-13.xml.hg,4.500,20,20,0.18,5,173,716
hypergraphs_Pi-20-10-20-30-14.xml.hg,4.000,20,18,0.12,5,88,302
hypergraphs_Pi-20-10-20-30-15.xml.hg,4.000,20,20,0.21,5,204,875
hypergraphs_Pi-20-10-20-30-16.xml.hg,4.500,20,20,0.22,5,214,965
hypergraphs_Pi-20-10-20-30-17.xml.hg,4.500,20,20,0.19,5,189,785
hypergraphs_Pi-20-10-20-30-18.xml.hg,4.000,20,18,0.1,5,64,207
hypergraphs_Pi-20-10-20-30-19.xml.hg,4.000,20,20,0.16,5,189,768
hypergraphs_Pi-20-10-20-30-20.xml.hg,4.000,20,19,0.18,5,155,645
hypergraphs_Pi-20-10-20-30-21.xml.hg,4.000,20,20,0.25,5,254,1203
hypergraphs_Pi-20-10-20-30-22.xml.hg,4.000,20,20,0.16,5,142,533
hypergraphs_Pi-20-10-20-30-23.xml.hg,4.000,20,19,0.24,5,239,1075
hypergraphs_Pi-20-10-20-30-24.xml.hg,4.500,20,19,0.19,5,172,767
hypergraphs_Pi-20-10-20-30-25.xml.hg,4.000,20,20,0.21,5,186,809
hypergraphs_Pi-20-10-20-30-26.xml.hg,3.500,20,19,0.13,5,95,339
hypergraphs_Pi-20-10-20-30-27.xml.hg,4.000,20,19,0.15,5,139,527
hypergraphs_Pi-20-10-20-30-28.xml.hg,4.000,20,20,0.17,5,157,640
hypergraphs_Pi-20-10-20-30-29.xml.hg,4.000,20,20,0.21000000000000002,5,220,979
hypergraphs_Pi-20-10-20-30-30.xml.hg,4.500,20,19,0.2,5,173,782
hypergraphs_Pi-20-10-20-30-31.xml.hg,4.500,20,20,0.18000000000000002,5,181,737
hypergraphs_Pi-20-10-20-30-32.xml.hg,4.000,20,20,0.17,5,151,603
hypergraphs_Pi-20-10-20-30-33.xml.hg,4.000,20,20,0.13,5,107,381
hypergraphs_Pi-20-10-20-30-34.xml.hg,4.500,20,20,0.19,5,170,714
hypergraphs_Pi-20-10-20-30-35.xml.hg,4.500,20,20,0.19,5,186,767
hypergraphs_Pi-20-10-20-30-36.xml.hg,4.500,20,19,0.2,5,185,822
hypergraphs_Pi-20-10-20-30-37.xml.hg,4.000,20,20,0.16,5,145,524
hypergraphs_Pi-20-10-20-30-38.xml.hg,4.000,20,20,0.22,5,208,951
hypergraphs_Pi-20-10-20-30-39.xml.hg,4.000,20,20,0.15,5,132,477
hypergraphs_Pi-20-10-20-30-40.xml.hg,4.000,20,19,0.16,5,144,586
hypergraphs_Pi-20-10-20-30-41.xml.hg,4.000,20,20,0.15,5,142,535
hypergraphs_Pi-20-10-20-30-42.xml.hg,5.000,20,20,0.23,5,233,1056
hypergraphs_Pi-20-10-20-30-43.xml.hg,3.500,20,20,0.1,5,83,254
hypergraphs_Pi-20-10-20-30-44.xml.hg,4.500,20,19,0.18,5,171,714
hypergraphs_Pi-20-10-20-30-45.xml.hg,4.000,20,20,0.15,5,127,472
hypergraphs_Pi-20-10-20-30-46.xml.hg,4.500,20,19,0.17,5,150,596
hypergraphs_Pi-20-10-20-30-47.xml.hg,4.500,20,20,0.22,5,229,987
hypergraphs_Pi-20-10-20-30-48.xml.hg,4.000,20,19,0.13,5,95,345
hypergraphs_Pi-20-10-20-30-49.xml.hg,4.500,20,20,0.26,5,259,1180
hypergraphs_Pi-20-10-20-30-50.xml.hg,4.000,20,19,0.2,5,183,746
hypergraphs_Pi-20-10-20-30-51.xml.hg,4.000,20,20,0.17,5,155,637
hypergraphs_Pi-20-10-20-30-52.xml.hg,4.500,20,20,0.21,5,199,876
hypergraphs_Pi-20-10-20-30-53.xml.hg,4.500,20,20,0.31,5,337,1564
hypergraphs_Pi-20-10-20-30-54.xml.hg,4.500,20,20,0.18,5,167,677
hypergraphs_Pi-20-10-20-30-55.xml.hg,4.500,20,19,0.22,5,208,913
hypergraphs_Pi-20-10-20-30-56.xml.hg,4.500,20,19,0.17,5,152,612
hypergraphs_Pi-20-10-20-30-57.xml.hg,3.500,20,20,0.13,5,103,353
hypergraphs_Pi-20-10-20-30-58.xml.hg,4.000,20,20,0.16,5,154,632
hypergraphs_Pi-20-10-20-30-59.xml.hg,4.500,20,20,0.33,5,318,1664
hypergraphs_Pi-20-10-20-30-60.xml.hg,3.500,20,19,0.14,5,96,321
hypergraphs_Pi-20-10-20-30-61.xml.hg,4.000,20,19,0.18000000000000002,5,181,742
hypergraphs_Pi-20-10-20-30-62.xml.hg,5.000,20,20,0.32,5,310,1582
hypergraphs_Pi-20-10-20-30-63.xml.hg,4.000,20,19,0.12,5,78,261
hypergraphs_Pi-20-10-20-30-64.xml.hg,4.000,20,20,0.17,5,166,720
hypergraphs_Pi-20-10-20-30-65.xml.hg,4.000,20,20,0.2,5,195,824
hypergraphs_Pi-20-10-20-30-66.xml.hg,4.000,20,20,0.15,5,134,495
hypergraphs_Pi-20-10-20-30-67.xml.hg,4.500,20,20,0.21,5,216,959
hypergraphs_Pi-20-10-20-30-68.xml.hg,4.000,20,20,0.29,5,275,1274
hypergraphs_Pi-20-10-20-30-69.xml.hg,4.000,20,20,0.21,5,207,910
hypergraphs_Pi-20-10-20-30-70.xml.hg,4.000,20,19,0.16,5,153,612
hypergraphs_Pi-20-10-20-30-71.xml.hg,4.500,20,18,0.24,5,162,682
hypergraphs_Pi-20-10-20-30-72.xml.hg,4.000,20,19,0.14,5,96,339
hypergraphs_Pi-20-10-20-30-73.xml.hg,4.000,20,18,0.15,5,103,360
hypergraphs_Pi-20-10-20-30-74.xml.hg,4.000,20,20,0.2,5,191,811
hypergraphs_Pi-20-10-20-30-75.xml.hg,4.500,20,20,0.32,5,333,1633
hypergraphs_Pi-20-10-20-30-76.xml.hg,4.500,20,20,0.25,5,263,1296
hypergraphs_Pi-20-10-20-30-77.xml.hg,4.000,20,20,0.14,5,130,503
hypergraphs_Pi-20-10-20-30-78.xml.hg,4.500,20,20,0.19,5,182,777
hypergraphs_Pi-20-10-20-30-79.xml.hg,4.000,20,20,0.19,5,167,732
hypergraphs_Pi-20-10-20-30-80.xml.hg,4.500,20,20,0.21,5,218,969
hypergraphs_Pi-20-10-20-30-81.xml.hg,4.500,20,20,0.14,5,135,488
hypergraphs_Pi-20-10-20-30-82.xml.hg,4.000,20,20,0.23,5,239,1100
hypergraphs_Pi-20-10-20-30-83.xml.hg,5.000,20,20,0.38,5,400,2063
hypergraphs_Pi-20-10-20-30-84.xml.hg,4.500,20,20,0.33,5,341,1786
hypergraphs_Pi-20-10-20-30-85.xml.hg,4.500,20,20,0.2,5,204,861
hypergraphs_Pi-20-10-20-30-86.xml.hg,4.000,20,20,0.18,5,172,703
hypergraphs_Pi-20-10-20-30-87.xml.hg,4.000,20,18,0.12,5,97,332
hypergraphs_Pi-20-10-20-30-88.xml.hg,4.500,20,20,0.27,5,279,1338
hypergraphs_Pi-20-10-20-30-89.xml.hg,5.000,20,20,0.28,5,287,1361
hypergraphs_Pi-20-10-20-30-90.xml.hg,4.000,20,20,0.23,5,238,1040
hypergraphs_Pi-20-10-20-30-91.xml.hg,4.500,20,20,0.15,5,134,507
hypergraphs_Pi-20-10-20-30-92.xml.hg,4.000,20,19,0.12,5,78,243
hypergraphs_Pi-20-10-20-30-93.xml.hg,4.000,20,19,0.11,5,73,218
hypergraphs_Pi-20-10-20-30-94.xml.hg,4.500,20,20,0.35,5,356,1821
hypergraphs_Pi-20-10-20-30-95.xml.hg,3.500,20,20,0.11,5,87,271
hypergraphs_Pi-20-10-20-30-96.xml.hg,4.000,20,20,0.14,5,111,439
hypergraphs_Pi-20-10-20-30-97.xml.hg,4.000,20,20,0.19,5,175,737
hypergraphs_Pi-20-10-20-30-98.xml.hg,4.000,20,18,0.2,5,185,779
hypergraphs_Pi-20-10-20-30-99.xml.hg,4.000,20,20,0.24,5,241,1069
hypergraphs_Pi-20-10-20-40-00.xml.hg,4.000,20,20,0.2,5,205,894
hypergraphs_Pi-20-10-20-40-01.xml.hg,4.000,20,20,0.2,5,212,936
hypergraphs_Pi-20-10-20-40-02.xml.hg,3.500,20,19,0.12,5,84,270
hypergraphs_Pi-20-10-20-40-03.xml.hg,4.000,20,20,0.15,5,126,457
hypergraphs_Pi-20-10-20-40-04.xml.hg,4.500,20,20,0.15,5,148,585
hypergraphs_Pi-20-10-20-40-05.xml.hg,4.000,20,19,0.18,5,145,585
hypergraphs_Pi-20-10-20-40-06.xml.hg,4.000,20,20,0.14,5,113,414
hypergraphs_Pi-20-10-20-40-07.xml.hg,4.000,20,20,0.2,5,203,868
hypergraphs_Pi-20-10-20-40-08.xml.hg,3.500,20,18,0.11,5,80,261
