instance,tw,triang_fhtw,frasmt_fhtw
hypergraphs_Kakuro-hard-017-ext.xml.hg,3.000,2088.5,2204.88
hypergraphs_Kakuro-hard-018-ext.xml.hg,3.000,6.61,1288.4
hypergraphs_Kakuro-hard-019-ext.xml.hg,4.000,1861.79,2132.52
hypergraphs_Kakuro-hard-020-ext.xml.hg,4.000,814.27,TO
hypergraphs_Kakuro-hard-021-ext.xml.hg,3.000,TO,1597.84
hypergraphs_Kakuro-hard-022-ext.xml.hg,3.000,900.09,2328.31
hypergraphs_Kakuro-hard-023-ext.xml.hg,4.000,12.43,1472.77
hypergraphs_Kakuro-hard-024-ext.xml.hg,3.000,17.98,1352.55
hypergraphs_Kakuro-hard-025-ext.xml.hg,4.000,TO,2811.37
hypergraphs_Kakuro-hard-026-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-027-ext.xml.hg,4.000,40.39,1546.2
hypergraphs_Kakuro-hard-028-ext.xml.hg,4.000,TO,2562.94
hypergraphs_Kakuro-hard-029-ext.xml.hg,3.000,56.24,1193.68
hypergraphs_Kakuro-hard-030-ext.xml.hg,4.000,209.99,1724.96
hypergraphs_Kakuro-hard-031-ext.xml.hg,4.000,264.01,1597.2
hypergraphs_Kakuro-hard-032-ext.xml.hg,3.000,564.79,TO
hypergraphs_Kakuro-hard-033-ext.xml.hg,4.000,1602.2,2784.25
hypergraphs_Kakuro-hard-034-ext.xml.hg,3.000,102.82,1648.17
hypergraphs_Kakuro-hard-035-ext.xml.hg,3.000,524.47,TO
hypergraphs_Kakuro-hard-036-ext.xml.hg,3.000,26.150000000000002,1382.08
hypergraphs_Kakuro-hard-037-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-038-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-039-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-040-ext.xml.hg,4.000,229.53,1758.7
hypergraphs_Kakuro-hard-041-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-042-ext.xml.hg,4.000,1424.58,2063.6
hypergraphs_Kakuro-hard-043-ext.xml.hg,4.000,TO,2333.99
hypergraphs_Kakuro-hard-044-ext.xml.hg,4.000,780.76,2919.67
hypergraphs_Kakuro-hard-045-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-046-ext.xml.hg,4.000,1928.66,2507.96
hypergraphs_Kakuro-hard-047-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-048-ext.xml.hg,4.000,565.2,TO
hypergraphs_Kakuro-hard-049-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-050-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-051-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-052-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-053-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-054-ext.xml.hg,4.000,3280.46,TO
hypergraphs_Kakuro-hard-055-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-056-ext.xml.hg,3.000,2297.52,TO
hypergraphs_Kakuro-hard-057-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-058-ext.xml.hg,3.000,0.55,111.32
hypergraphs_Kakuro-hard-059-ext.xml.hg,3.000,1652.3500000000001,TO
hypergraphs_Kakuro-hard-060-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-061-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-062-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-064-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-065-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-068-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-069-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-070-ext.xml.hg,3.000,11.0,TO
hypergraphs_Kakuro-hard-071-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-072-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-073-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-074-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-075-ext.xml.hg,3.000,2252.19,TO
hypergraphs_Kakuro-hard-078-ext.xml.hg,4.000,1119.06,TO
hypergraphs_Kakuro-hard-083-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-084-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-086-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-087-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-088-ext.xml.hg,3.000,TO,696.48
hypergraphs_Kakuro-hard-090-ext.xml.hg,3.000,1.5,792.46
hypergraphs_Kakuro-hard-092-ext.xml.hg,3.000,39.04,TO
hypergraphs_Kakuro-hard-093-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-094-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-096-ext.xml.hg,3.000,764.81,868.04
hypergraphs_Kakuro-hard-097-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-098-ext.xml.hg,3.000,161.26,TO
hypergraphs_Kakuro-hard-099-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-103-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-104-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-106-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-109-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-112-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-113-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-114-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-115-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-116-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-118-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-119-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-121-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-122-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-123-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-124-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-125-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-126-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-127-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-128-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-129-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-130-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-131-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-132-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-133-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-134-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-135-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-136-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-137-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-138-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-140-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-141-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-144-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-145-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-149-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-150-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-151-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-153-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-154-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-155-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-156-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-157-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-158-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-159-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-161-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-162-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-163-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-165-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-168-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-169-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-170-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-171-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-172-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-hard-173-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-hard-174-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-000-ext.xml.hg,3.000,0.18,17.09
hypergraphs_Kakuro-medium-001-ext.xml.hg,3.000,0.42000000000000004,111.21
hypergraphs_Kakuro-medium-002-ext.xml.hg,2.000,0.18,356.89
hypergraphs_Kakuro-medium-003-ext.xml.hg,3.000,0.25,456.55
hypergraphs_Kakuro-medium-004-ext.xml.hg,3.000,64.28,1064.86
hypergraphs_Kakuro-medium-005-ext.xml.hg,4.000,1961.38,1196.75
hypergraphs_Kakuro-medium-006-ext.xml.hg,4.000,77.29,1321.65
hypergraphs_Kakuro-medium-007-ext.xml.hg,3.000,994.5,2091.07
hypergraphs_Kakuro-medium-008-ext.xml.hg,4.000,70.58,1825.38
hypergraphs_Kakuro-medium-009-ext.xml.hg,3.000,135.94,2060.32
hypergraphs_Kakuro-medium-010-ext.xml.hg,3.000,101.53,1630.36
hypergraphs_Kakuro-medium-011-ext.xml.hg,4.000,539.68,1418.21
hypergraphs_Kakuro-medium-012-ext.xml.hg,3.000,548.66,2559.45
hypergraphs_Kakuro-medium-013-ext.xml.hg,3.000,982.19,TO
hypergraphs_Kakuro-medium-014-ext.xml.hg,3.000,307.71000000000004,984.22
hypergraphs_Kakuro-medium-015-ext.xml.hg,4.000,2247.89,3100.62
hypergraphs_Kakuro-medium-016-ext.xml.hg,3.000,321.38,TO
hypergraphs_Kakuro-medium-017-ext.xml.hg,3.000,2110.6200000000003,TO
hypergraphs_Kakuro-medium-018-ext.xml.hg,3.000,6.86,1471.9
hypergraphs_Kakuro-medium-019-ext.xml.hg,4.000,1938.32,TO
hypergraphs_Kakuro-medium-020-ext.xml.hg,4.000,790.3,TO
hypergraphs_Kakuro-medium-021-ext.xml.hg,3.000,TO,2474.09
hypergraphs_Kakuro-medium-022-ext.xml.hg,3.000,967.98,2842.1
hypergraphs_Kakuro-medium-023-ext.xml.hg,4.000,12.81,1673.43
hypergraphs_Kakuro-medium-024-ext.xml.hg,3.000,16.79,1438.62
hypergraphs_Kakuro-medium-025-ext.xml.hg,4.000,TO,2441.59
hypergraphs_Kakuro-medium-026-ext.xml.hg,4.000,TO,2038.17
hypergraphs_Kakuro-medium-027-ext.xml.hg,4.000,39.75,1564.82
hypergraphs_Kakuro-medium-028-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-029-ext.xml.hg,3.000,52.39,1220.17
hypergraphs_Kakuro-medium-030-ext.xml.hg,4.000,209.7,2640.13
hypergraphs_Kakuro-medium-031-ext.xml.hg,4.000,264.88,2778.05
hypergraphs_Kakuro-medium-032-ext.xml.hg,3.000,548.35,3036.86
hypergraphs_Kakuro-medium-033-ext.xml.hg,4.000,1525.46,TO
hypergraphs_Kakuro-medium-034-ext.xml.hg,3.000,106.93,1694.79
hypergraphs_Kakuro-medium-035-ext.xml.hg,3.000,549.37,TO
hypergraphs_Kakuro-medium-036-ext.xml.hg,3.000,26.42,1267.28
hypergraphs_Kakuro-medium-037-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-038-ext.xml.hg,4.000,TO,1744.23
hypergraphs_Kakuro-medium-039-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-040-ext.xml.hg,4.000,242.7,1648.27
hypergraphs_Kakuro-medium-041-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-042-ext.xml.hg,4.000,1352.44,2390.85
hypergraphs_Kakuro-medium-043-ext.xml.hg,4.000,TO,2743.42
hypergraphs_Kakuro-medium-044-ext.xml.hg,4.000,780.36,2776.58
hypergraphs_Kakuro-medium-045-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-046-ext.xml.hg,4.000,1945.4,TO
hypergraphs_Kakuro-medium-047-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-048-ext.xml.hg,4.000,563.04,TO
hypergraphs_Kakuro-medium-049-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-050-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-051-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-052-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-053-ext.xml.hg,4.000,3039.47,TO
hypergraphs_Kakuro-medium-054-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-055-ext.xml.hg,3.000,2454.82,TO
hypergraphs_Kakuro-medium-056-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-057-ext.xml.hg,3.000,0.6,105.95
hypergraphs_Kakuro-medium-058-ext.xml.hg,3.000,1658.12,TO
hypergraphs_Kakuro-medium-059-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-060-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-061-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-063-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-064-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-067-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-068-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-069-ext.xml.hg,3.000,11.46,TO
hypergraphs_Kakuro-medium-070-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-071-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-072-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-073-ext.xml.hg,3.000,2972.38,TO
hypergraphs_Kakuro-medium-074-ext.xml.hg,3.000,2264.16,TO
hypergraphs_Kakuro-medium-081-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-082-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-084-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-085-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-086-ext.xml.hg,3.000,TO,692.75
hypergraphs_Kakuro-medium-089-ext.xml.hg,3.000,37.26,TO
hypergraphs_Kakuro-medium-090-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-091-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-093-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-094-ext.xml.hg,3.000,157.98,TO
hypergraphs_Kakuro-medium-098-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-099-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-101-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-104-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-108-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-109-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-110-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-111-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-112-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-114-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-115-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-117-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-118-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-119-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-120-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-121-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-122-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-123-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-124-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-125-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-126-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-127-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-128-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-129-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-130-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-131-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-132-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-133-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-134-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-136-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-137-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-140-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-141-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-145-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-146-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-147-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-149-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-150-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-151-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-152-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-153-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-154-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-155-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-156-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-158-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-159-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-160-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-162-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-165-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-166-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-167-ext.xml.hg,-1,TO,TO
hypergraphs_Kakuro-medium-168-ext.xml.hg,-1,MO,TO
hypergraphs_Kakuro-medium-169-ext.xml.hg,-1,MO,TO
hypergraphs_lubm-q10.hg,1.000,0.01,2.76
hypergraphs_lubm-q11.hg,1.000,0.01,2.74
hypergraphs_lubm-q12.hg,1.000,0.01,2.57
hypergraphs_lubm-q13.hg,1.000,0.01,2.52
hypergraphs_lubm-q14.hg,1.000,0.01,0.68
hypergraphs_lubm-q1.hg,1.000,0.01,0.64
hypergraphs_lubm-q2.hg,1.500,0.02,0.68
hypergraphs_lubm-q3.hg,1.000,0.01,0.64
hypergraphs_lubm-q4.hg,1.000,0.02,2.77
hypergraphs_lubm-q5.hg,1.000,0.01,2.72
hypergraphs_lubm-q6.hg,1.000,0.01,2.47
hypergraphs_lubm-q7.hg,1.000,0.01,2.5
hypergraphs_lubm-q8.hg,1.000,0.02,0.65
hypergraphs_lubm-q9.hg,1.500,0.02,0.67
hypergraphs_MaxCSP-connell.xml.hg,3.000,0.06,6.0
hypergraphs_MaxCSP-eye.xml.hg,2.000,0.06,22.58
hypergraphs_MaxCSP-simple.xml.hg,2.000,0.03,3.27
hypergraphs_MaxCSP-spot5-0008.xml.hg,2.000,0.03,2.78
hypergraphs_MaxCSP-wijsmanguo.xml.hg,2.000,0.1,20.06
hypergraphs_mdd-7-25-5-56-01.xml.hg,3.367,0.02,190.36
hypergraphs_mdd-7-25-5-56-02.xml.hg,3.329,0.05,RTE
hypergraphs_mdd-7-25-5-56-03.xml.hg,3.429,0.05,209.06
hypergraphs_mdd-7-25-5-56-04.xml.hg,3.326,0.04,173.91
hypergraphs_mdd-7-25-5-56-05.xml.hg,3.482,0.03,4.59
hypergraphs_mdd-7-25-5-56-06.xml.hg,3.388,0.06,119.89
hypergraphs_mdd-7-25-5-56-07.xml.hg,3.429,0.04,559.36
hypergraphs_mdd-7-25-5-56-08.xml.hg,3.443,0.05,808.72
hypergraphs_mdd-7-25-5-56-09.xml.hg,3.321,0.04,218.03
hypergraphs_mdd-7-25-5-56-10.xml.hg,3.440,0.05,RTE
hypergraphs_mdd-7-25-5-56-11.xml.hg,3.340,0.04,225.95
hypergraphs_mdd-7-25-5-56-12.xml.hg,3.361,0.06,1056.89
hypergraphs_mdd-7-25-5-56-13.xml.hg,3.429,0.06,TO
hypergraphs_mdd-7-25-5-56-14.xml.hg,3.345,0.05,RTE
hypergraphs_mdd-7-25-5-56-15.xml.hg,3.429,0.05,91.39
hypergraphs_mdd-7-25-5-56-16.xml.hg,3.401,0.06,3212.24
hypergraphs_mdd-7-25-5-56-17.xml.hg,3.429,0.05,214.62
hypergraphs_mdd-7-25-5-56-18.xml.hg,3.429,0.04,1880.28
hypergraphs_mdd-7-25-5-56-19.xml.hg,3.429,0.05,RTE
hypergraphs_mdd-7-25-5-56-20.xml.hg,3.429,0.03,RTE
hypergraphs_mdd-7-25-5-56-21.xml.hg,3.429,0.05,144.5
hypergraphs_mdd-7-25-5-56-22.xml.hg,3.429,0.03,RTE
hypergraphs_mdd-7-25-5-56-23.xml.hg,3.429,0.04,RTE
hypergraphs_mdd-7-25-5-56-24.xml.hg,3.459,0.04,86.13
hypergraphs_mdd-7-25-5-56-25.xml.hg,3.394,0.06,127.59
hypergraphs_mdd-7-25-5-ps05-psh07-1.xml.hg,3.429,0.04,RTE
hypergraphs_mdd-7-25-5-ps05-psh07-2.xml.hg,3.370,0.06,184.57
hypergraphs_mdd-7-25-5-ps05-psh07-3.xml.hg,3.378,0.04,147.62
hypergraphs_mdd-7-25-5-ps05-psh07-4.xml.hg,3.429,0.05,RTE
hypergraphs_mdd-7-25-5-ps05-psh07-5.xml.hg,3.334,0.05,129.19
hypergraphs_mdd-7-25-5-ps05-psh07-6.xml.hg,3.326,0.05,128.13
hypergraphs_mdd-7-25-5-ps05-psh07-7.xml.hg,3.429,0.05,247.54
hypergraphs_mdd-7-25-5-ps05-psh07-8.xml.hg,3.441,0.05,158.38
hypergraphs_mdd-7-25-5-ps05-psh07-9.xml.hg,3.429,0.05,295.06
hypergraphs_mdd-7-25-5-ps05-psh09-0.xml.hg,3.338,0.04,112.06
hypergraphs_mdd-7-25-5-ps05-psh09-1.xml.hg,3.429,0.05,84.42
hypergraphs_mdd-7-25-5-ps05-psh09-2.xml.hg,3.447,0.05,RTE
hypergraphs_mdd-7-25-5-ps05-psh09-3.xml.hg,3.442,0.04,RTE
hypergraphs_mdd-7-25-5-ps05-psh09-4.xml.hg,3.425,0.05,91.83
hypergraphs_mdd-7-25-5-ps05-psh09-5.xml.hg,3.447,0.03,4.73
hypergraphs_mdd-7-25-5-ps05-psh09-6.xml.hg,3.302,0.04,208.57
hypergraphs_mdd-7-25-5-ps05-psh09-7.xml.hg,3.429,0.04,1.62
hypergraphs_mdd-7-25-5-ps05-psh09-8.xml.hg,3.429,0.04,4.52
hypergraphs_mdd-7-25-5-ps05-psh09-9.xml.hg,3.429,0.05,150.66
hypergraphs_NewSystem1.hg,3.000,2.71,610.21
hypergraphs_NewSystem2.hg,3.000,182.01,TO
hypergraphs_NewSystem3.hg,-1,TO,TO
hypergraphs_NewSystem4.hg,-1,TO,TO
hypergraphs_Nonogram-001-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-002-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-003-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-004-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-005-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-006-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-007-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-008-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-009-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-010-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-011-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-012-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-013-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-014-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-015-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-016-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-017-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-018-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-020-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-021-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-022-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-023-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-024-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-025-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-027-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-028-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-029-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-030-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-031-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-032-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-033-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-034-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-035-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-036-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-037-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-038-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-039-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-040-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-041-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-042-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-043-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-044-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-045-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-047-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-048-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-049-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-050-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-051-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-053-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-054-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-055-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-056-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-057-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-058-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-059-table.xml.hg,-1,TO,TO
hypergraphs_Nonogram-060-table.xml.hg,-1,TO,TO
